,trial,hole1,hole2,hole3,num_sims,num_looks
0,1,6.9730399416745066e-15,0.6066091176663241,0.393390882333669,150,245
1,2,1.0019082930255591e-14,0.107766035563755,0.892233964436235,150,227
2,3,0.3722982145178476,0.6277017854821453,7.009726613355034e-15,150,262
3,4,1.1151575726066801e-14,1.1151575726066801e-14,0.9999999999999777,150,264
4,5,2.8318004027529695e-14,0.9996638636745856,0.0003361363253861219,150,276
5,6,0.7683522183178964,0.23164778168208433,1.9300484467215343e-14,150,327
6,7,1.1589653877701979e-14,1.1589653877701979e-14,0.9999999999999768,150,279
7,8,0.9999999999999742,1.2872956938842134e-14,1.2872956938842134e-14,150,314
8,9,0.9999999999999764,1.1804903174321565e-14,1.1804903174321565e-14,150,242
9,10,0.00026645563639283846,0.1412329994652852,0.858500544898322,150,235
10,11,1.1619159755326356e-14,1.1619159755326356e-14,0.9999999999999768,150,262
11,12,0.9999999999999766,1.1723350706360853e-14,1.1723350706360853e-14,150,274
12,13,0.54864844424665,0.4513515557533371,1.2924841614825883e-14,150,314
13,14,1.1237080698578302e-14,1.1237080698578302e-14,0.9999999999999776,150,270
14,15,0.5163653901805118,0.4836346098194825,5.7931380444875036e-15,150,202
15,16,0.06943525580568446,0.9305647441942846,3.0980058102493365e-14,150,265
16,17,0.9675018230886998,0.03249817691127518,2.5008062576068662e-14,150,237
17,18,3.920368169520235e-14,0.9999999999999216,3.920368169520235e-14,150,226
18,19,0.515120323029637,0.48487967697035717,5.819374626110244e-15,150,226
19,20,0.9999999999999777,1.1142330325366367e-14,1.1142330325366367e-14,150,219
20,21,1.1164617676864816e-14,0.9999999999999777,1.1164617676864816e-14,150,278
21,22,8.9816677233747e-15,0.8059376265330163,0.19406237346697475,150,300
22,23,1.2426029908605193e-14,1.2426029908605193e-14,0.9999999999999751,150,320
23,24,1.11726287442386e-14,0.006464174306721868,0.9935358256932669,150,340
24,25,5.911602647099191e-15,0.512370138242334,0.48762986175766004,150,317
25,26,9.730457207245329e-15,0.13641743316044636,0.8635825668395439,150,251
26,27,1.1027081680438976e-14,0.018570138884267177,0.9814298611157217,150,251
27,28,2.4443410154145506e-14,0.9999999999999512,2.4443410154145506e-14,150,223
28,29,0.9864968709735578,3.028352632232349e-14,0.013503129026411964,150,192
29,30,1.1487979747326367e-14,0.999999999999977,1.1487979747326367e-14,150,240
30,31,0.9165049104318986,0.08349508956807644,2.502759121904473e-14,150,260
31,32,0.010534258166990997,0.5212101888949948,0.46825555293801424,150,231
32,33,1.1200527321309077e-14,0.9999999999999776,1.1200527321309077e-14,150,280
33,34,0.9999999999999759,1.2038571263910406e-14,1.2038571263910406e-14,150,218
34,35,0.006527603974345089,0.9934723960251732,4.817692275972303e-13,150,350
35,36,1.1811861067068134e-14,1.1811861067068134e-14,0.9999999999999764,150,240
36,37,0.5222960646713362,0.4777039353286576,6.28401131997053e-15,150,326
37,38,1.2935595570405688e-14,1.2935595570405688e-14,0.9999999999999741,150,280
38,39,0.4930827019437928,0.5069172980561998,7.442025756023667e-15,150,284
39,40,0.9999999999999744,1.2836763910435067e-14,1.2836763910435067e-14,150,266
40,41,1.2814341530327542e-14,1.2814341530327542e-14,0.9999999999999744,150,226
41,42,6.871376075223509e-15,0.44740875376327044,0.5525912462367226,150,270
42,43,0.9999999999999681,1.5941978935169385e-14,1.5941978935169385e-14,150,303
43,44,1.3372892831357952e-14,1.3372892831357952e-14,0.9999999999999732,150,319
44,45,0.9999999999999759,1.2073515164863162e-14,1.2073515164863162e-14,150,233
45,46,7.814617249321817e-15,0.4301899500369072,0.569810049963085,150,278
46,47,2.1186764578551378e-14,0.14024975810681567,0.8597502418931632,150,235
47,48,0.45819334823956304,0.0035380780155206356,0.5382685737449162,150,278
48,49,1.472912578926454e-14,1.472912578926454e-14,0.9999999999999706,150,254
49,50,1.1208107972678727e-14,0.9999999999999776,1.1208107972678727e-14,150,307
50,51,0.9994903503617719,0.0005096496381994874,2.861863156658392e-14,150,240
51,52,1.2417792465264574e-14,1.2417792465264574e-14,0.9999999999999751,150,271
52,53,0.4542731151676797,0.13239415551209982,0.41333272932022036,150,293
53,54,6.088100425328375e-15,0.4780402415422713,0.5219597584577226,150,314
54,55,9.173092947715305e-15,0.33592370185695475,0.6640762981430361,150,275
55,56,2.1711467158624628e-13,0.9999999999995658,2.1711467158624628e-13,150,254
56,57,8.962617699245293e-15,0.19568867883811228,0.8043113211618788,150,226
57,58,0.38604259596355706,0.380290880465324,0.23366652357111892,150,224
58,59,0.6055045944814671,0.0045927686394577946,0.389902636879075,150,344
59,60,1.2468186505226643e-14,1.2468186505226643e-14,0.999999999999975,150,318
60,61,1.5014855872071806e-14,1.5014855872071806e-14,0.99999999999997,150,254
61,62,0.5116877204956293,8.25839711760664e-15,0.4883122795043624,150,364
62,63,0.12167739355190033,0.8783226064480849,1.472743159863141e-14,150,270
63,64,1.77167376367345e-14,0.99898128610501,0.0010187138949722307,150,310
64,65,0.999999999999974,1.2995759511475902e-14,1.2995759511475902e-14,150,240
65,66,2.9994346722726045e-14,0.99999999999994,2.9994346722726045e-14,150,321
66,67,0.6699035491389335,0.33009645086105893,7.485856851244052e-15,150,270
67,68,7.726074773699368e-15,0.5612501743476334,0.43874982565235887,150,251
68,69,0.4690996195204178,0.5309003804795761,5.9589271835806646e-15,150,239
69,70,0.9999999999999754,1.233680271954135e-14,1.233680271954135e-14,150,306
70,71,1.2088295342715197e-14,0.9999999999999758,1.2088295342715197e-14,150,276
71,72,0.9999999999999777,1.1133190673814026e-14,1.1133190673814026e-14,150,263
72,73,6.457247709099813e-15,0.4237065731737751,0.5762934268262185,150,293
73,74,1.8379593956847987e-14,1.8379593956847987e-14,0.9999999999999633,150,231
74,75,0.5306876689801343,0.4693123310198571,8.579039244504982e-15,150,312
75,76,0.9999999999999675,1.6289065023529806e-14,1.6289065023529806e-14,150,240
76,77,6.592373702801017e-15,0.46374803336979376,0.5362519666301996,150,277
77,78,0.5624842210193199,0.437515778980673,7.016162735589485e-15,150,245
78,79,1.0445408162717738e-14,0.07887124001013289,0.9211287599898567,150,236
79,80,0.3835339955588208,0.6164660044411716,7.610184876848386e-15,150,243
80,81,2.8046947451348324e-14,2.8046947451348324e-14,0.9999999999999439,150,249
81,82,9.357687961598958e-15,0.8372127238245425,0.16278727617544805,150,326
82,84,0.999999999999965,1.7479827062466965e-14,1.7479827062466965e-14,150,280
83,85,0.5861809859052002,0.4138190140947934,6.548726184928903e-15,150,263
84,86,1.3921405338655868e-14,1.3921405338655868e-14,0.9999999999999721,150,238
85,90,1.1143466254050444e-14,1.1143466254050444e-14,0.9999999999999777,150,269
86,91,1.1484973360345014e-14,0.9731546973000832,0.02684530269990536,150,321
87,93,1.121067235118188e-14,0.9999999999999776,1.121067235118188e-14,150,275
88,94,0.5295551828484291,0.47044481715156483,6.039688891299852e-15,150,255
89,97,0.9655280522688802,0.026961743681316812,0.007510204049803133,150,214
90,98,1.1551526293280931e-14,0.011278439989247257,0.9887215600107412,150,286
91,99,1.5125742880291147e-14,1.5125742880291147e-14,0.9999999999999698,150,216
92,100,1.2543652529955854e-14,1.2543652529955854e-14,0.9999999999999749,150,222
93,102,0.9999999999999638,1.8087284605681706e-14,1.8087284605681706e-14,150,222
94,103,0.9999999999999749,1.2533226853348345e-14,1.2533226853348345e-14,150,269
95,106,5.891654482729191e-15,0.5181363463579324,0.4818636536420616,150,330
96,107,0.8941121943873279,0.10588780561266019,1.1850194287947388e-14,150,339
97,109,1.4173083098420049e-14,1.4173083098420049e-14,0.9999999999999717,150,298
98,111,0.9999999999999774,1.1297309801189389e-14,1.1297309801189389e-14,150,294
99,112,8.611907406993695e-15,0.2885423274185308,0.7114576725814605,150,320
100,113,0.28541864502502284,0.7145813549749688,8.316283513842991e-15,150,334
101,114,0.9999999999999777,1.116646261779327e-14,1.116646261779327e-14,150,236
102,115,5.625082610366743e-12,5.625082610366743e-12,0.9999999999887499,150,257
103,118,1.3865093141496163e-14,1.3865093141496163e-14,0.9999999999999722,150,306
104,121,0.9999999999999745,1.2776224382564481e-14,1.2776224382564481e-14,150,228
105,122,1.2538291706250152e-14,1.2538291706250152e-14,0.9999999999999749,150,271
106,123,0.32721038878908315,0.017922326873795504,0.6548672843371213,150,298
