,trial,run,judgment,num_cols
0,1,0,1,14
1,1,1,1,10
2,1,2,1,9
3,1,3,1,12
4,1,4,1,12
5,1,5,1,8
6,1,6,1,7
7,1,7,1,12
8,1,8,1,6
9,1,9,1,8
10,1,10,1,9
11,1,11,1,19
12,1,12,1,11
13,1,13,1,12
14,1,14,1,13
15,1,15,1,10
16,1,16,1,17
17,1,17,1,8
18,1,18,1,7
19,1,19,1,15
20,1,20,1,9
21,1,21,1,13
22,1,22,1,7
23,1,23,1,8
24,1,24,1,10
25,1,25,1,11
26,1,26,1,10
27,1,27,1,6
28,1,28,1,8
29,1,29,1,7
30,2,0,2,212
31,2,1,2,218
32,2,2,2,199
33,2,3,2,216
34,2,4,2,217
35,2,5,2,217
36,2,6,1,10
37,2,7,2,221
38,2,8,2,204
39,2,9,1,8
40,2,10,1,12
41,2,11,2,222
42,2,12,2,206
43,2,13,1,8
44,2,14,1,12
45,2,15,2,213
46,2,16,2,212
47,2,17,1,11
48,2,18,1,8
49,2,19,2,210
50,2,20,1,9
51,2,21,2,214
52,2,22,2,218
53,2,23,1,11
54,2,24,2,213
55,2,25,2,214
56,2,26,1,13
57,2,27,1,10
58,2,28,2,215
59,2,29,2,215
60,3,0,1,11
61,3,1,1,8
62,3,2,1,7
63,3,3,1,8
64,3,4,1,10
65,3,5,1,7
66,3,6,1,15
67,3,7,1,7
68,3,8,1,8
69,3,9,1,8
70,3,10,1,9
71,3,11,1,8
72,3,12,1,10
73,3,13,1,11
74,3,14,1,7
75,3,15,1,8
76,3,16,1,7
77,3,17,1,6
78,3,18,1,7
79,3,19,1,10
80,3,20,1,10
81,3,21,1,8
82,3,22,1,8
83,3,23,1,14
84,3,24,1,8
85,3,25,1,14
86,3,26,1,8
87,3,27,1,8
88,3,28,1,13
89,3,29,1,8
90,4,0,2,8
91,4,1,2,12
92,4,2,2,10
93,4,3,2,7
94,4,4,2,8
95,4,5,2,6
96,4,6,2,7
97,4,7,2,6
98,4,8,2,9
99,4,9,2,8
100,4,10,2,10
101,4,11,2,8
102,4,12,2,11
103,4,13,2,8
104,4,14,2,7
105,4,15,2,8
106,4,16,2,10
107,4,17,2,7
108,4,18,2,7
109,4,19,2,8
110,4,20,2,8
111,4,21,2,14
112,4,22,2,8
113,4,23,2,8
114,4,24,2,7
115,4,25,2,9
116,4,26,2,10
117,4,27,2,9
118,4,28,2,9
119,4,29,2,8
120,5,0,1,88
121,5,1,1,35
122,5,2,1,14
123,5,3,1,24
124,5,4,1,26
125,5,5,1,14
126,5,6,1,108
127,5,7,1,10
128,5,8,1,48
129,5,9,1,24
130,5,10,1,23
131,5,11,1,18
132,5,12,1,6
133,5,13,1,36
134,5,14,1,28
135,5,15,1,26
136,5,16,1,23
137,5,17,1,14
138,5,18,1,24
139,5,19,1,22
140,5,20,1,15
141,5,21,1,25
142,5,22,1,78
143,5,23,1,20
144,5,24,1,21
145,5,25,1,20
146,5,26,1,17
147,5,27,1,6
148,5,28,1,19
149,5,29,1,8
150,6,0,0,280
151,6,1,0,290
152,6,2,0,279
153,6,3,1,110
154,6,4,0,276
155,6,5,0,279
156,6,6,0,288
157,6,7,1,222
158,6,8,0,42
159,6,9,1,265
160,6,10,0,283
161,6,11,0,290
162,6,12,1,219
163,6,13,1,239
164,6,14,0,279
165,6,15,0,284
166,6,16,1,203
167,6,17,0,284
168,6,18,0,285
169,6,19,0,279
170,6,20,1,244
171,6,21,1,42
172,6,22,0,283
173,6,23,0,279
174,6,24,0,284
175,6,25,0,283
176,6,26,0,284
177,6,27,1,248
178,6,28,0,283
179,6,29,0,281
180,7,0,2,27
181,7,1,2,21
182,7,2,2,24
183,7,3,2,24
184,7,4,2,24
185,7,5,2,21
186,7,6,2,21
187,7,7,2,27
188,7,8,2,41
189,7,9,2,24
190,7,10,2,21
191,7,11,2,24
192,7,12,2,30
193,7,13,2,21
194,7,14,2,30
195,7,15,2,21
196,7,16,2,47
197,7,17,2,27
198,7,18,2,27
199,7,19,2,21
200,7,20,2,21
201,7,21,2,50
202,7,22,2,27
203,7,23,2,27
204,7,24,2,27
205,7,25,2,29
206,7,26,2,33
207,7,27,2,24
208,7,28,2,33
209,7,29,2,45
210,8,0,0,10
211,8,1,0,18
212,8,2,0,8
213,8,3,0,10
214,8,4,0,14
215,8,5,0,8
216,8,6,0,85
217,8,7,0,8
218,8,8,0,16
219,8,9,0,8
220,8,10,0,14
221,8,11,0,10
222,8,12,0,10
223,8,13,0,8
224,8,14,0,12
225,8,15,0,8
226,8,16,0,8
227,8,17,0,8
228,8,18,0,8
229,8,19,0,8
230,8,20,0,10
231,8,21,0,8
232,8,22,0,8
233,8,23,0,10
234,8,24,0,8
235,8,25,0,10
236,8,26,0,14
237,8,27,0,12
238,8,28,0,20
239,8,29,0,12
240,9,0,0,5
241,9,1,0,5
242,9,2,0,5
243,9,3,0,5
244,9,4,0,5
245,9,5,0,5
246,9,6,0,5
247,9,7,0,5
248,9,8,0,5
249,9,9,0,5
250,9,10,0,6
251,9,11,0,8
252,9,12,0,5
253,9,13,0,4
254,9,14,0,5
255,9,15,0,6
256,9,16,0,5
257,9,17,0,5
258,9,18,0,5
259,9,19,0,4
260,9,20,0,5
261,9,21,0,4
262,9,22,0,5
263,9,23,0,6
264,9,24,0,5
265,9,25,0,5
266,9,26,0,5
267,9,27,0,5
268,9,28,0,5
269,9,29,0,5
270,10,0,2,193
271,10,1,2,199
272,10,2,2,194
273,10,3,2,197
274,10,4,2,196
275,10,5,2,195
276,10,6,2,196
277,10,7,2,195
278,10,8,2,189
279,10,9,2,195
280,10,10,2,198
281,10,11,2,196
282,10,12,2,196
283,10,13,2,195
284,10,14,2,195
285,10,15,2,196
286,10,16,2,198
287,10,17,2,195
288,10,18,2,198
289,10,19,2,197
290,10,20,2,194
291,10,21,2,194
292,10,22,2,198
293,10,23,2,196
294,10,24,2,196
295,10,25,2,197
296,10,26,2,198
297,10,27,2,196
298,10,28,2,196
299,10,29,2,198
300,11,0,2,7
301,11,1,2,7
302,11,2,2,7
303,11,3,2,7
304,11,4,2,7
305,11,5,2,7
306,11,6,2,12
307,11,7,2,7
308,11,8,2,7
309,11,9,2,7
310,11,10,2,7
311,11,11,2,7
312,11,12,2,7
313,11,13,2,7
314,11,14,2,10
315,11,15,2,7
316,11,16,2,7
317,11,17,2,7
318,11,18,2,7
319,11,19,2,7
320,11,20,2,7
321,11,21,2,7
322,11,22,2,7
323,11,23,2,7
324,11,24,2,7
325,11,25,2,7
326,11,26,2,7
327,11,27,2,6
328,11,28,2,7
329,11,29,2,7
330,12,0,0,262
331,12,1,0,11
332,12,2,0,18
333,12,3,0,30
334,12,4,0,9
335,12,5,0,14
336,12,6,0,12
337,12,7,0,12
338,12,8,0,11
339,12,9,0,23
340,12,10,0,52
341,12,11,0,38
342,12,12,0,12
343,12,13,0,201
344,12,14,0,92
345,12,15,0,15
346,12,16,0,12
347,12,17,0,8
348,12,18,0,9
349,12,19,0,6
350,12,20,0,50
351,12,21,0,8
352,12,22,0,11
353,12,23,0,12
354,12,24,0,72
355,12,25,0,40
356,12,26,0,29
357,12,27,0,11
358,12,28,0,10
359,12,29,0,22
360,13,0,1,276
361,13,1,1,18
362,13,2,1,25
363,13,3,1,17
364,13,4,1,268
365,13,5,0,15
366,13,6,1,77
367,13,7,1,271
368,13,8,1,217
369,13,9,1,50
370,13,10,1,275
371,13,11,1,281
372,13,12,1,19
373,13,13,1,19
374,13,14,1,27
375,13,15,1,21
376,13,16,1,14
377,13,17,1,27
378,13,18,1,20
379,13,19,1,24
380,13,20,1,63
381,13,21,1,286
382,13,22,1,279
383,13,23,1,13
384,13,24,1,275
385,13,25,1,270
386,13,26,1,16
387,13,27,1,15
388,13,28,1,18
389,13,29,1,283
390,14,0,2,6
391,14,1,2,9
392,14,2,2,12
393,14,3,2,7
394,14,4,2,9
395,14,5,2,12
396,14,6,2,6
397,14,7,2,6
398,14,8,2,5
399,14,9,2,6
400,14,10,2,6
401,14,11,2,6
402,14,12,2,6
403,14,13,2,6
404,14,14,2,6
405,14,15,2,14
406,14,16,2,6
407,14,17,2,6
408,14,18,2,6
409,14,19,2,23
410,14,20,2,5
411,14,21,2,6
412,14,22,2,5
413,14,23,2,9
414,14,24,2,7
415,14,25,2,12
416,14,26,2,6
417,14,27,2,5
418,14,28,2,6
419,14,29,2,8
420,15,0,0,9
421,15,1,0,7
422,15,2,0,8
423,15,3,0,9
424,15,4,0,11
425,15,5,0,7
426,15,6,0,6
427,15,7,0,7
428,15,8,0,7
429,15,9,0,8
430,15,10,0,7
431,15,11,0,8
432,15,12,0,10
433,15,13,0,8
434,15,14,0,13
435,15,15,0,6
436,15,16,0,12
437,15,17,0,8
438,15,18,0,8
439,15,19,0,10
440,15,20,0,10
441,15,21,0,6
442,15,22,0,7
443,15,23,0,9
444,15,24,0,12
445,15,25,0,8
446,15,26,0,7
447,15,27,0,8
448,15,28,0,10
449,15,29,0,10
450,16,0,1,200
451,16,1,1,28
452,16,2,1,196
453,16,3,1,9
454,16,4,1,203
455,16,5,1,19
456,16,6,1,200
457,16,7,1,201
458,16,8,1,116
459,16,9,1,199
460,16,10,1,198
461,16,11,1,196
462,16,12,1,202
463,16,13,1,16
464,16,14,1,14
465,16,15,1,196
466,16,16,1,201
467,16,17,1,197
468,16,18,1,200
469,16,19,1,196
470,16,20,1,196
471,16,21,1,196
472,16,22,1,198
473,16,23,1,200
474,16,24,1,203
475,16,25,1,200
476,16,26,1,197
477,16,27,1,19
478,16,28,1,200
479,16,29,1,201
480,17,0,0,199
481,17,1,0,10
482,17,2,0,199
483,17,3,0,199
484,17,4,0,198
485,17,5,0,199
486,17,6,0,197
487,17,7,0,198
488,17,8,0,198
489,17,9,0,199
490,17,10,0,199
491,17,11,0,198
492,17,12,0,200
493,17,13,0,199
494,17,14,0,10
495,17,15,0,199
496,17,16,0,199
497,17,17,0,198
498,17,18,0,53
499,17,19,0,199
500,17,20,0,199
501,17,21,0,199
502,17,22,0,10
503,17,23,0,31
504,17,24,0,199
505,17,25,0,200
506,17,26,0,199
507,17,27,0,200
508,17,28,0,8
509,17,29,0,199
510,18,0,1,8
511,18,1,1,5
512,18,2,1,6
513,18,3,1,24
514,18,4,1,7
515,18,5,1,8
516,18,6,1,10
517,18,7,1,21
518,18,8,1,8
519,18,9,1,15
520,18,10,1,6
521,18,11,1,15
522,18,12,1,9
523,18,13,1,18
524,18,14,1,22
525,18,15,1,10
526,18,16,1,21
527,18,17,1,9
528,18,18,1,23
529,18,19,1,18
530,18,20,1,15
531,18,21,1,7
532,18,22,1,7
533,18,23,1,13
534,18,24,1,10
535,18,25,1,11
536,18,26,1,11
537,18,27,1,11
538,18,28,1,6
539,18,29,1,16
540,19,0,0,7
541,19,1,0,15
542,19,2,0,11
543,19,3,0,8
544,19,4,0,7
545,19,5,0,9
546,19,6,0,12
547,19,7,0,15
548,19,8,0,13
549,19,9,0,9
550,19,10,0,7
551,19,11,0,11
552,19,12,0,6
553,19,13,0,6
554,19,14,0,13
555,19,15,0,7
556,19,16,0,7
557,19,17,0,7
558,19,18,0,13
559,19,19,0,8
560,19,20,0,11
561,19,21,0,12
562,19,22,0,6
