,trial,run,judgment,num_sims,num_looks
0,1,0,1,3,5
1,1,1,1,1,2
2,1,2,1,6,7
3,1,3,1,1,0
4,1,4,1,1,1
5,1,5,1,1,0
6,1,6,1,1,1
7,1,7,1,2,4
8,1,8,1,2,4
9,1,9,1,1,0
10,1,10,1,1,1
11,1,11,1,2,2
12,1,12,1,1,2
13,1,13,1,1,1
14,1,14,1,1,2
15,1,15,1,1,1
16,1,16,1,1,0
17,1,17,1,1,1
18,1,18,1,2,3
19,1,19,1,1,1
20,1,20,1,4,6
21,1,21,2,3,6
22,1,22,1,1,1
23,1,23,1,1,2
24,1,24,1,2,2
25,1,25,1,1,2
26,1,26,1,1,1
27,1,27,1,5,9
28,1,28,1,3,4
29,1,29,1,1,1
30,2,0,2,3,3
31,2,1,2,2,4
32,2,2,2,3,5
33,2,3,2,4,5
34,2,4,2,3,4
35,2,5,2,2,3
36,2,6,2,2,6
37,2,7,2,2,4
38,2,8,2,4,7
39,2,9,2,2,4
40,2,10,2,5,9
41,2,11,2,3,3
42,2,12,2,2,5
43,2,13,2,5,6
44,2,14,2,4,4
45,2,15,2,3,8
46,2,16,2,5,6
47,2,17,2,6,13
48,2,18,2,3,7
49,2,19,2,3,6
50,2,20,2,4,6
51,2,21,2,3,4
52,2,22,2,3,3
53,2,23,2,3,6
54,2,24,2,3,2
55,2,25,2,3,4
56,2,26,2,2,6
57,2,27,2,4,7
58,2,28,2,3,5
59,2,29,2,3,6
60,3,0,1,1,1
61,3,1,1,1,0
62,3,2,1,6,8
63,3,3,1,1,2
64,3,4,1,1,1
65,3,5,1,1,1
66,3,6,1,2,0
67,3,7,1,1,1
68,3,8,1,3,6
69,3,9,1,1,2
70,3,10,0,2,2
71,3,11,1,4,6
72,3,12,1,1,0
73,3,13,1,1,1
74,3,14,1,1,1
75,3,15,1,4,4
76,3,16,1,1,1
77,3,17,0,2,4
78,3,18,1,1,1
79,3,19,1,6,11
80,3,20,1,4,8
81,3,21,1,1,0
82,3,22,1,1,1
83,3,23,1,2,3
84,3,24,1,1,1
85,3,25,1,1,0
86,3,26,1,1,2
87,3,27,1,1,1
88,3,28,1,1,1
89,3,29,1,1,2
90,4,0,2,2,3
91,4,1,2,2,3
92,4,2,2,2,4
93,4,3,2,3,6
94,4,4,2,1,2
95,4,5,2,1,2
96,4,6,2,1,0
97,4,7,2,1,0
98,4,8,2,1,0
99,4,9,2,2,5
100,4,10,2,1,0
101,4,11,2,2,4
102,4,12,2,1,2
103,4,13,2,1,1
104,4,14,2,2,2
105,4,15,2,1,1
106,4,16,2,1,1
107,4,17,2,1,0
108,4,18,2,1,0
109,4,19,2,1,0
110,4,20,2,1,0
111,4,21,2,2,5
112,4,22,2,1,0
113,4,23,2,2,4
114,4,24,2,1,2
115,4,25,2,1,2
116,4,26,2,1,2
117,4,27,2,1,0
118,4,28,2,2,5
119,4,29,2,1,0
120,5,0,1,3,3
121,5,1,1,3,7
122,5,2,1,10,17
123,5,3,1,3,8
124,5,4,1,3,7
125,5,5,1,36,64
126,5,6,1,6,11
127,5,7,1,5,7
128,5,8,1,3,7
129,5,9,1,4,8
130,5,10,1,3,5
131,5,11,1,35,65
132,5,12,1,3,4
133,5,13,1,3,8
