,trial,hole1,hole2,hole3,num_cols
0,1,1.1995439480913282e-14,0.583638586630852,0.41636141336913607,112
1,2,1.661677225571353e-14,0.41955866071989384,0.5804413392800896,114
2,3,0.4255591041612203,0.5744408958387677,1.2118427790203361e-14,115
3,4,1.842409419846341e-14,0.12179321126134758,0.878206788738634,120
4,5,0.054556854019475215,0.6647059253164155,0.2807372206641093,124
5,6,0.4750961148587114,0.5249038851412768,1.1786676913385998e-14,136
6,7,2.1194797966277402e-14,2.1194797966277402e-14,0.9999999999999576,122
7,8,0.9689687965779448,0.011989550105007248,0.019041653317048074,138
8,9,0.9999999999999601,1.9917084322084754e-14,1.9917084322084754e-14,117
9,10,0.25596857744035034,0.29631767986214086,0.44771374269750874,100
10,11,2.0816188767707813e-14,2.0816188767707813e-14,0.9999999999999584,153
11,12,0.9999999999999385,3.077037673960868e-14,3.077037673960868e-14,127
12,13,0.4119477815401343,0.5880522184598515,1.4325483564739965e-14,137
13,14,2.3846292681431933e-14,2.3846292681431933e-14,0.9999999999999523,130
14,15,0.5556103682336403,0.44438963176634816,1.1521757286243572e-14,80
15,16,0.3872408285216369,0.6127591714783438,1.9195287980706708e-14,145
16,17,0.7762753074308385,0.22372469256914096,2.0481441585690736e-14,124
17,18,0.12179491371924421,0.8782050862807212,3.455494770066367e-14,120
18,19,0.546304639322667,0.4536953606773211,1.1806385778443908e-14,100
19,20,0.9999999999999609,1.9538567008450982e-14,1.9538567008450982e-14,120
20,21,0.18428473472406748,0.8157152652759155,1.6956196263161185e-14,148
21,22,1.2055591194219205e-14,0.618735878423985,0.3812641215760029,144
22,23,3.153460857460539e-14,3.153460857460539e-14,0.9999999999999369,172
23,24,1.8318166206172168e-14,0.14187403543231375,0.858125964567668,148
24,25,1.146650914292653e-14,0.5407198114177154,0.4592801885822731,158
25,26,1.526258528335338e-14,0.256387545446961,0.7436124545530237,120
26,27,1.5692642276897525e-14,0.25406078918258046,0.7459392108174038,119
27,28,2.5088365361903876e-14,0.8444822907711335,0.1555177092288415,105
28,29,0.7171801409004014,0.08179648741036136,0.2010233716892374,80
29,30,0.3294086152263909,0.6705913847735948,1.4286529099905294e-14,131
30,31,0.6354458544093278,0.3645541455906515,2.0672688825187446e-14,158
31,32,0.15076334374086894,0.5086461011387107,0.3405905551204204,119
32,33,2.0266669879657074e-14,0.9999999999999595,2.0266669879657074e-14,147
33,34,0.9849262199927934,2.4587713661654012e-14,0.015073780007182049,117
34,35,0.40190322688605734,0.4586527471945672,0.13944402591937544,159
35,36,1.718428579261829e-14,0.12169705928152996,0.8783029407184529,123
36,37,0.5000553713176261,0.49994462868236267,1.1159102217376936e-14,136
37,38,3.2725059875930326e-14,3.2725059875930326e-14,0.9999999999999345,136
38,39,0.4091271936991943,0.4816195352878858,0.10925327101291991,126
39,40,0.9999999999999587,2.066349411120204e-14,2.066349411120204e-14,141
40,41,2.0246194025891535e-14,2.0246194025891535e-14,0.9999999999999595,133
41,42,1.4278745900876843e-14,0.36143949193050623,0.6385605080694795,160
42,43,0.7808806960135085,0.0003925688520655442,0.21872673513442595,153
43,44,2.5250795412297314e-14,2.5250795412297314e-14,0.9999999999999495,159
44,45,0.9999999999999591,2.0422301565349492e-14,2.0422301565349492e-14,121
45,46,1.19032634285157e-14,0.4429823928999056,0.5570176071000825,119
46,47,0.006616520850297149,0.17580675196462428,0.8175767271850786,100
47,48,0.44511740326917687,0.046820379077675084,0.5080622176531481,130
48,49,2.3325670217244108e-14,2.3325670217244108e-14,0.9999999999999534,167
49,50,0.05569692549115804,0.76934350346576,0.17495957104308185,160
50,51,0.7812286243371891,0.21877137566278562,2.519226201342455e-14,118
51,52,2.339692271022632e-14,2.339692271022632e-14,0.9999999999999533,158
52,53,0.3156564479231399,0.3317874711085271,0.3525560809683331,140
53,54,1.3782016212008734e-14,0.4490423844153903,0.5509576155845959,158
54,55,1.9556741543114534e-14,0.2915319829176125,0.7084680170823678,143
55,56,0.0015220761268359396,0.9421406539594854,0.05633726991367869,155
56,57,1.3419609522841539e-14,0.3571174106669718,0.6428825893330149,117
57,58,0.313539426978254,0.38249255519530495,0.30396801782644106,102
58,59,0.3707752180455769,0.14069228718276586,0.4885324947716573,152
59,60,2.2217865558661727e-14,0.012489126112078554,0.9875108738878993,159
60,61,2.5260208911238505e-14,2.5260208911238505e-14,0.9999999999999495,136
61,62,0.4924605200710807,1.1904388841599758e-14,0.5075394799289074,161
62,63,0.4116259509865067,0.5883740490134771,1.617493352589522e-14,142
63,64,2.063506798836939e-14,0.6306721637287231,0.36932783627125626,165
64,65,0.9999999999999453,2.7375835269518372e-14,2.7375835269518372e-14,116
65,66,0.08889862349793586,0.9111013765020348,2.92319141718229e-14,146
66,67,0.5945255985974432,0.40547440140254465,1.2143312583589458e-14,118
67,68,1.1894832470734803e-14,0.4832744328324396,0.5167255671675486,116
68,69,0.442431379077474,0.5575686209225145,1.1584194793827719e-14,128
69,70,0.9829572572600005,0.0032975081353779673,0.01374523460462152,163
70,71,0.009355612042549174,0.9109308573070456,0.07971353065040529,154
71,72,0.9999999999999609,1.9534483918375228e-14,1.9534483918375228e-14,141
72,73,0.00022419095795494457,0.4334382960914485,0.5663375129505964,121
73,74,2.1501584132645306e-14,2.1501584132645306e-14,0.999999999999957,100
74,75,0.5116926211500867,0.4883073788499007,1.259391997224132e-14,144
75,76,0.9999999999999525,2.37698171141516e-14,2.37698171141516e-14,108
76,77,1.2640577809907222e-14,0.40273604770082383,0.5972639522991635,121
77,78,0.5310254946166079,0.4683168764469796,0.0006576289364124641,102
78,79,1.5444131349896903e-14,0.2610455238689953,0.7389544761309892,120
79,80,0.41700757016219764,0.5558149664782417,0.027177463359560665,119
80,81,2.3212446399798693e-14,2.3212446399798693e-14,0.9999999999999536,138
81,82,1.4333014613439048e-14,0.5799211775625863,0.4200788224373993,139
82,84,0.9999999999999495,2.52519321957314e-14,2.52519321957314e-14,119
83,85,0.5954309421137093,0.40456905788627806,1.269541999413172e-14,130
84,86,2.1656266932096042e-14,2.1656266932096042e-14,0.9999999999999567,120
85,90,2.074767219590072e-14,2.074767219590072e-14,0.9999999999999585,154
86,91,1.7759023644229772e-14,0.724121084806786,0.27587891519319613,162
87,93,0.009053608744797059,0.9477701466971197,0.043176244558083214,167
88,94,0.3882183315722505,0.6070930945130822,0.004688573914667164,147
89,97,0.5640965093606239,0.2687094245058807,0.16719406613349538,112
90,98,1.3599166195807129e-14,0.3441644607135584,0.6558355392864281,160
91,99,2.2652278003037724e-14,2.2652278003037724e-14,0.9999999999999547,128
92,100,3.1475407595800656e-14,3.1475407595800656e-14,0.999999999999937,142
93,102,0.9999999999999506,2.468220521964684e-14,2.468220521964684e-14,105
94,103,0.9999999999999106,4.468605238317025e-14,4.468605238317025e-14,138
95,106,1.1415787550877439e-14,0.5062287593119101,0.4937712406880784,176
96,107,0.6293002685938189,0.3076300394231204,0.06306969198306069,157
97,109,2.2009757831544517e-14,0.016085733052119397,0.9839142669478586,152
98,111,0.9999999999999591,2.0431610703405987e-14,2.0431610703405987e-14,139
99,112,1.2977729099089125e-14,0.3415514766974473,0.6584485233025397,166
100,113,0.3926136894823334,0.607386310517648,1.8647935493700123e-14,170
101,114,0.9999999999999584,2.081472793143273e-14,2.081472793143273e-14,120
102,115,5.6414345339513935e-14,5.6414345339513935e-14,0.9999999999998872,114
103,118,2.646874946552405e-14,2.646874946552405e-14,0.999999999999947,167
104,121,0.9999999999999585,2.0770364501082535e-14,2.0770364501082535e-14,108
