,trial,hole1,hole2,hole3,num_sims,num_looks
0,1,6.8678967581782646e-15,0.6028424979055168,0.39715750209447637,270,426
1,2,1.0194128802351213e-14,0.10158170154605366,0.8984182984539361,270,413
2,3,0.37323874459831324,0.6267612554016797,7.079964437836331e-15,270,467
3,4,1.1108836017074707e-14,0.0089033716567669,0.991096628343222,270,484
4,5,2.9342335185600095e-14,0.999643445998409,0.00035655400156167633,270,491
5,6,0.7576873521652818,0.24231264783469839,1.9780248217474312e-14,270,562
6,7,1.1653731090202641e-14,1.1653731090202641e-14,0.9999999999999767,270,481
7,8,0.999999999999974,1.2984064958647203e-14,1.2984064958647203e-14,270,569
8,9,0.9999999999999764,1.1806459462107266e-14,1.1806459462107266e-14,270,400
9,10,2.0286705691302283e-14,0.18057511276358088,0.8194248872363988,270,404
10,11,1.1568270401215954e-14,1.1568270401215954e-14,0.9999999999999769,270,488
11,12,0.9999999999999759,1.2038765138747637e-14,1.2038765138747637e-14,270,484
12,13,0.5537153829459063,0.4462846170540809,1.2920759050098837e-14,270,568
13,14,1.1149999644375545e-14,1.1149999644375545e-14,0.9999999999999777,270,490
14,15,0.5148920493403636,0.48510795065963064,5.7526591797869705e-15,270,347
15,16,0.07208448988694498,0.9279155101130235,3.152795894147063e-14,270,480
16,17,0.9638494965229543,0.03615050347702172,2.411018661251571e-14,270,409
17,18,4.0663135719301534e-14,0.9999999999999186,4.0663135719301534e-14,270,430
18,19,0.5164402298180188,0.48355977018197543,5.76330065524917e-15,270,422
19,20,0.9999999999999777,1.1134312985302515e-14,1.1134312985302515e-14,270,407
20,21,0.008548782944156468,0.9914512170558325,1.1070679398103979e-14,270,485
21,22,8.987070659243213e-15,0.8064054591243828,0.1935945408756082,270,526
22,23,1.249474681531673e-14,1.249474681531673e-14,0.999999999999975,270,558
23,24,1.1096671279792029e-14,0.006425333134474259,0.9935746668655147,270,648
24,25,5.89415185488986e-15,0.5096513741147708,0.4903486258852233,270,566
25,26,9.669321710305594e-15,0.14458460555451091,0.8554153944454794,270,480
26,27,1.1031398767966333e-14,0.018775571330590657,0.9812244286693983,270,480
27,28,2.448445349715458e-14,0.9986297406657936,0.0013702593341818811,270,435
28,29,0.9848587643570331,3.135113582398911e-14,0.015141235642935479,270,342
29,30,1.1169336674039686e-14,0.9999999999999777,1.1169336674039686e-14,270,426
30,31,0.9163580202560464,0.08364197974392927,2.4437524724234793e-14,270,476
31,32,6.20534075796491e-15,0.5312948549953027,0.4687051450046912,270,405
32,33,1.1182716679051524e-14,0.9999999999999777,1.1182716679051524e-14,270,495
33,34,0.9999999999999759,1.2022137682411608e-14,1.2022137682411608e-14,270,433
34,35,4.682959099061016e-13,0.9999999999990634,4.682959099061016e-13,270,628
35,36,1.1816753752143022e-14,1.1816753752143022e-14,0.9999999999999764,270,428
36,37,0.5248287978692432,0.47517120213075054,6.2521282015553596e-15,270,567
37,38,1.2567269192936536e-14,1.2567269192936536e-14,0.9999999999999749,270,504
38,39,0.49224972541172657,0.5077502745882659,7.43005186984667e-15,270,502
39,40,0.9999999999999745,1.2757656813378095e-14,1.2757656813378095e-14,270,511
40,41,1.2839425925425308e-14,1.2839425925425308e-14,0.9999999999999744,270,410
41,42,6.7755090273731134e-15,0.4446634238798142,0.555336576120179,270,485
42,43,0.9999999999999694,1.5345485912523158e-14,1.5345485912523158e-14,270,542
43,44,1.3298386111560355e-14,1.3298386111560355e-14,0.9999999999999734,270,561
44,45,0.999999999999976,1.1965131529106599e-14,1.1965131529106599e-14,270,416
45,46,7.734788015125673e-15,0.42339579624265156,0.5766042037573407,270,493
46,47,2.1259429738572267e-14,0.10567294217979219,0.8943270578201865,270,392
47,48,0.45745220889814947,0.003722641740281882,0.5388251493615687,270,473
48,49,1.4764103368303283e-14,1.4764103368303283e-14,0.9999999999999705,270,491
49,50,1.1225695628059216e-14,0.9999999999999776,1.1225695628059216e-14,270,554
50,51,0.9991590239786895,0.0008409760212828149,2.7756359141850973e-14,270,410
51,52,1.2423210687802882e-14,1.2423210687802882e-14,0.9999999999999751,270,493
52,53,0.4479647754755482,0.14072271210781748,0.41131251241663425,270,537
53,54,5.98280165861842e-15,0.46880068760135446,0.5311993123986395,270,593
54,55,9.133795381680527e-15,0.31266175878280367,0.6873382412171872,270,527
55,56,2.7509967707065534e-13,0.9999999999994498,2.7509967707065534e-13,270,503
56,57,8.942646462858205e-15,0.20016031406552032,0.7998396859344707,270,438
57,58,0.38196676982660416,0.3806481021120803,0.2373851280613155,270,432
58,59,0.6069658435668895,0.00424801009150675,0.3887861463416038,270,640
59,60,1.2504161235500278e-14,1.2504161235500278e-14,0.999999999999975,270,575
60,61,1.502683108282625e-14,1.502683108282625e-14,0.9999999999999699,270,410
61,62,0.48672916044288683,7.933350199555237e-15,0.5132708395571052,270,622
62,63,0.12089643388589023,0.8791035661140957,1.4126900966629087e-14,270,484
63,64,1.784523642506438e-14,0.9998832842564636,0.00011671574351860344,270,560
64,65,0.9999999999999738,1.3109622996875401e-14,1.3109622996875401e-14,270,434
65,66,2.929928503514579e-14,0.9999999999999414,2.929928503514579e-14,270,546
66,67,0.6736731151331556,0.3263268848668368,7.518326811548364e-15,270,466
67,68,7.648922486678745e-15,0.5540366323288427,0.44596336767114975,270,465
68,69,0.46808847630469447,0.5319115236952997,5.9374547936056104e-15,270,425
69,70,0.9999999999999759,1.2061379596856776e-14,1.2061379596856776e-14,270,564
70,71,1.1864917102283117e-14,0.9925892150741797,0.007410784925808357,270,485
71,72,0.9999999999999777,1.1133482746405412e-14,1.1133482746405412e-14,270,498
72,73,6.479935514824961e-15,0.42501620630895137,0.5749837936910421,270,483
73,74,1.8079221907570147e-14,1.8079221907570147e-14,0.9999999999999638,270,418
74,75,0.5306931164220928,0.4693068835778986,8.53920406362141e-15,270,560
75,76,0.9999999999999694,1.5348721669919578e-14,1.5348721669919578e-14,270,438
76,77,6.406219852763832e-15,0.47948905148395243,0.5205109485160412,270,474
77,78,0.5619969753476675,0.4380030246523253,7.03961567741055e-15,270,422
78,79,1.0257639233165365e-14,0.08035561911400646,0.9196443808859833,270,428
79,80,0.3773267069963214,0.6226732930036708,7.699854001531626e-15,270,412
80,81,2.793136258205378e-14,2.793136258205378e-14,0.9999999999999442,270,405
81,82,9.330324459341834e-15,0.8369274451101174,0.16307255488987335,270,529
82,84,0.9999999999999656,1.722842297978074e-14,1.722842297978074e-14,270,487
83,85,0.5990750481483258,0.4009249518516675,6.769938475372156e-15,270,501
84,86,1.3575092887639756e-14,1.3575092887639756e-14,0.9999999999999728,270,414
85,90,1.1142800713454536e-14,1.1142800713454536e-14,0.9999999999999777,270,498
86,91,1.1640639430468465e-14,0.9754411662494249,0.024558833750563492,270,531
87,93,1.1044235790316662e-14,0.9908714847505854,0.009128515249403503,270,497
88,94,0.529393267046704,0.47060673295328986,6.1570213377844776e-15,270,467
89,97,0.9665654693740824,0.027751437405816787,0.005683093220100594,270,408
90,98,1.16821656274677e-14,1.16821656274677e-14,0.9999999999999767,270,543
