,trial,run,judgment,num_sims,num_looks
0,1,0,1,2,3
1,1,1,1,0,0
2,1,2,1,0,0
3,1,3,1,0,0
4,1,4,1,0,0
5,1,5,1,0,0
6,1,6,1,0,0
7,1,7,1,0,0
8,1,8,1,0,0
9,1,9,1,0,0
10,1,10,1,0,0
11,1,11,1,1,0
12,1,12,1,0,0
13,1,13,1,0,0
14,1,14,1,0,0
15,1,15,1,0,0
16,1,16,1,0,0
17,1,17,1,0,0
18,1,18,1,0,0
19,1,19,1,1,1
20,1,20,1,1,0
21,1,21,1,1,0
22,1,22,1,0,0
23,1,23,1,1,0
24,1,24,1,2,2
25,1,25,1,0,0
26,1,26,1,0,0
27,1,27,1,0,0
28,1,28,1,1,0
29,1,29,1,0,0
30,2,0,1,1,3
31,2,1,2,2,5
32,2,2,1,2,2
33,2,3,1,1,1
34,2,4,1,1,3
35,2,5,1,1,1
36,2,6,1,1,2
37,2,7,2,2,4
38,2,8,1,1,2
39,2,9,0,1,1
40,2,10,1,1,3
41,2,11,1,1,1
42,2,12,1,1,2
43,2,13,1,1,1
44,2,14,0,1,2
45,2,15,1,1,1
46,2,16,1,1,2
47,2,17,1,1,2
48,2,18,1,1,1
49,2,19,1,1,3
50,2,20,1,1,2
51,2,21,1,1,2
52,2,22,1,1,3
53,2,23,1,1,2
54,2,24,1,1,2
55,2,25,1,1,1
56,2,26,1,1,2
57,2,27,1,1,2
58,2,28,1,1,2
59,2,29,1,1,1
60,3,0,1,1,1
61,3,1,1,0,0
62,3,2,1,0,0
63,3,3,1,0,0
64,3,4,1,0,0
65,3,5,1,0,0
66,3,6,1,0,0
67,3,7,1,0,0
68,3,8,1,0,0
69,3,9,1,0,0
70,3,10,1,0,0
71,3,11,1,0,0
72,3,12,1,0,0
73,3,13,1,0,0
74,3,14,1,0,0
75,3,15,1,0,0
76,3,16,1,0,0
77,3,17,1,1,2
78,3,18,1,2,1
79,3,19,1,0,0
80,3,20,1,0,0
81,3,21,1,0,0
82,3,22,1,0,0
83,3,23,1,0,0
84,3,24,1,0,0
85,3,25,1,0,0
86,3,26,1,0,0
87,3,27,1,1,0
88,3,28,1,1,2
89,3,29,1,0,0
90,4,0,2,1,0
91,4,1,2,0,0
92,4,2,2,0,0
93,4,3,2,0,0
94,4,4,2,0,0
95,4,5,2,0,0
