,trial,run,judgment,num_sims,num_looks
0,1,0,1,1,2
1,1,1,1,1,1
2,1,2,1,1,1
3,1,3,1,1,1
4,1,4,1,1,1
5,1,5,1,1,0
6,1,6,1,1,1
7,1,7,1,1,1
8,1,8,1,1,1
9,1,9,1,1,1
10,1,10,1,1,2
11,1,11,1,1,0
12,1,12,1,1,1
13,1,13,1,1,1
14,1,14,1,1,1
15,1,15,1,1,0
16,1,16,1,1,2
17,1,17,1,1,0
18,1,18,1,1,2
19,1,19,1,1,0
20,1,20,1,1,1
21,1,21,1,1,1
22,1,22,1,1,0
23,1,23,1,1,0
24,1,24,1,1,0
25,1,25,1,1,1
26,1,26,1,1,2
27,1,27,1,1,2
28,1,28,1,1,1
29,1,29,1,1,1
30,2,0,1,1,2
31,2,1,1,3,2
32,2,2,1,3,2
33,2,3,1,1,0
34,2,4,1,3,4
35,2,5,1,2,2
36,2,6,1,6,10
37,2,7,1,1,2
38,2,8,2,2,3
39,2,9,1,2,4
40,2,10,1,5,5
41,2,11,1,6,8
42,2,12,2,4,4
43,2,13,2,3,3
44,2,14,2,2,1
45,2,15,1,1,0
46,2,16,1,2,2
47,2,17,1,2,2
48,2,18,1,1,2
49,2,19,2,3,4
50,2,20,2,2,3
51,2,21,1,1,1
52,2,22,2,2,2
53,2,23,1,1,2
54,2,24,1,2,1
55,2,25,2,3,5
56,2,26,1,1,1
57,2,27,2,2,1
58,2,28,1,4,4
59,2,29,1,1,1
60,3,0,1,1,1
61,3,1,1,1,1
62,3,2,1,1,1
63,3,3,1,1,1
64,3,4,1,1,2
65,3,5,1,1,2
66,3,6,1,1,1
67,3,7,1,1,1
68,3,8,1,1,0
69,3,9,1,1,0
70,3,10,1,1,1
71,3,11,1,1,1
72,3,12,1,1,1
73,3,13,1,1,2
74,3,14,1,1,2
75,3,15,1,1,1
76,3,16,1,1,1
77,3,17,1,1,1
78,3,18,1,1,2
79,3,19,1,1,1
80,3,20,1,1,1
81,3,21,1,1,0
82,3,22,1,1,0
83,3,23,1,1,1
84,3,24,1,1,1
85,3,25,1,1,0
86,3,26,1,1,0
87,3,27,1,1,0
88,3,28,1,1,1
89,3,29,1,1,0
90,4,0,2,1,1
91,4,1,2,2,2
92,4,2,2,1,1
93,4,3,2,1,1
94,4,4,2,1,1
95,4,5,2,1,0
96,4,6,2,1,0
97,4,7,2,1,1
98,4,8,2,1,0
99,4,9,2,1,1
100,4,10,2,1,1
101,4,11,2,1,1
102,4,12,2,1,1
103,4,13,2,1,1
104,4,14,2,1,2
105,4,15,2,1,1
106,4,16,2,1,2
107,4,17,2,1,0
108,4,18,2,1,2
109,4,19,2,1,1
110,4,20,2,1,0
111,4,21,2,1,1
112,4,22,2,1,1
113,4,23,2,1,2
114,4,24,2,1,2
115,4,25,2,1,1
116,4,26,2,1,1
117,4,27,2,1,2
118,4,28,2,1,1
119,4,29,2,1,1
120,5,0,1,3,5
121,5,1,1,3,4
122,5,2,1,4,6
123,5,3,1,8,12
124,5,4,1,4,6
125,5,5,1,4,8
126,5,6,1,3,7
127,5,7,1,4,6
128,5,8,2,2,1
129,5,9,1,6,8
130,5,10,1,4,8
131,5,11,1,3,6
132,5,12,2,2,1
133,5,13,1,3,5
134,5,14,1,5,7
135,5,15,2,1,1
136,5,16,2,3,5
137,5,17,1,3,4
138,5,18,1,5,9
139,5,19,1,3,6
140,5,20,1,4,7
141,5,21,1,4,8
142,5,22,1,4,9
143,5,23,2,2,2
144,5,24,1,3,6
145,5,25,1,5,7
146,5,26,1,3,8
147,5,27,1,3,7
148,5,28,1,3,5
149,5,29,1,4,10
150,6,0,0,1,3
151,6,1,0,2,6
152,6,2,1,3,5
