,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.85,0.03,30.0,600,1,57.44593811035156
1,0.85,0.03,30.0,600,2,69.9837875366211
2,0.85,0.03,30.0,600,3,46.76650619506836
3,0.85,0.03,30.0,600,4,45.524925231933594
4,0.85,0.03,30.0,600,5,73.61151885986328
5,0.85,0.03,30.0,600,6,56.8699836730957
6,0.85,0.03,30.0,600,7,68.66532135009766
7,0.85,0.03,30.0,600,8,50.37689208984375
8,0.85,0.03,30.0,600,9,29.267038345336914
9,0.85,0.03,30.0,600,10,87.09060668945312
10,0.85,0.03,30.0,600,11,44.69656753540039
11,0.85,0.03,30.0,600,12,62.767024993896484
12,0.85,0.03,30.0,600,13,38.063255310058594
13,0.85,0.03,30.0,600,14,35.330074310302734
14,0.85,0.03,30.0,600,15,58.790672302246094
15,0.85,0.03,30.0,600,16,75.59162139892578
16,0.85,0.03,30.0,600,17,56.6037712097168
17,0.85,0.03,30.0,600,18,74.2138900756836
18,0.85,0.03,30.0,600,19,46.651878356933594
19,0.85,0.03,30.0,600,20,40.9692497253418
20,0.85,0.03,30.0,600,21,66.76261138916016
21,0.85,0.03,30.0,600,22,45.58408737182617
22,0.85,0.03,30.0,600,23,66.72461700439453
23,0.85,0.03,30.0,600,24,76.49229431152344
24,0.85,0.03,30.0,600,25,60.55538558959961
25,0.85,0.03,30.0,600,26,67.10954284667969
26,0.85,0.03,30.0,600,27,54.836883544921875
27,0.85,0.03,30.0,600,28,82.74446105957031
28,0.85,0.03,30.0,600,29,62.220027923583984
29,0.85,0.03,30.0,600,30,49.22126770019531
30,0.85,0.03,30.0,600,31,71.1507339477539
31,0.85,0.03,30.0,600,32,39.49669647216797
32,0.85,0.03,30.0,600,33,65.60153198242188
33,0.85,0.03,30.0,600,34,29.8060359954834
34,0.85,0.03,30.0,600,35,100.64209747314453
35,0.85,0.03,30.0,600,36,36.68880844116211
36,0.85,0.03,30.0,600,37,50.86565399169922
37,0.85,0.03,30.0,600,38,54.37879943847656
38,0.85,0.03,30.0,600,39,60.31362533569336
39,0.85,0.03,30.0,600,40,44.95008850097656
40,0.85,0.03,30.0,600,41,48.76844787597656
41,0.85,0.03,30.0,600,42,51.814369201660156
42,0.85,0.03,30.0,600,43,52.011253356933594
43,0.85,0.03,30.0,600,44,70.58621215820312
44,0.85,0.03,30.0,600,45,47.023040771484375
45,0.85,0.03,30.0,600,46,50.43207931518555
46,0.85,0.03,30.0,600,47,52.47071075439453
