,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.95,0.03,20.0,500,1,72.19707489013672
1,0.95,0.03,20.0,500,2,68.17828369140625
2,0.95,0.03,20.0,500,3,33.46919631958008
3,0.95,0.03,20.0,500,4,39.181190490722656
4,0.95,0.03,20.0,500,5,69.89460754394531
5,0.95,0.03,20.0,500,6,52.036930084228516
6,0.95,0.03,20.0,500,7,62.19139862060547
7,0.95,0.03,20.0,500,8,43.76911544799805
8,0.95,0.03,20.0,500,9,28.190265655517578
9,0.95,0.03,20.0,500,10,52.85213851928711
10,0.95,0.03,20.0,500,11,70.71719360351562
11,0.95,0.03,20.0,500,12,72.89710235595703
12,0.95,0.03,20.0,500,13,44.45205307006836
13,0.95,0.03,20.0,500,14,75.32390594482422
14,0.95,0.03,20.0,500,15,47.269535064697266
15,0.95,0.03,20.0,500,16,70.61660766601562
16,0.95,0.03,20.0,500,17,62.3741569519043
17,0.95,0.03,20.0,500,18,84.27709197998047
18,0.95,0.03,20.0,500,19,32.181365966796875
19,0.95,0.03,20.0,500,20,43.4427490234375
20,0.95,0.03,20.0,500,21,50.774208068847656
21,0.95,0.03,20.0,500,22,48.299110412597656
22,0.95,0.03,20.0,500,23,53.27332305908203
23,0.95,0.03,20.0,500,24,46.40896987915039
24,0.95,0.03,20.0,500,25,64.15113830566406
25,0.95,0.03,20.0,500,26,79.73094940185547
26,0.95,0.03,20.0,500,27,26.432523727416992
27,0.95,0.03,20.0,500,28,91.23114776611328
28,0.95,0.03,20.0,500,29,54.81561279296875
29,0.95,0.03,20.0,500,30,42.060184478759766
30,0.95,0.03,20.0,500,31,78.84554290771484
31,0.95,0.03,20.0,500,32,56.51599884033203
32,0.95,0.03,20.0,500,33,82.16075134277344
33,0.95,0.03,20.0,500,34,29.67352294921875
34,0.95,0.03,20.0,500,35,91.67086791992188
35,0.95,0.03,20.0,500,36,59.890499114990234
36,0.95,0.03,20.0,500,37,45.85313034057617
37,0.95,0.03,20.0,500,38,60.826805114746094
38,0.95,0.03,20.0,500,39,44.40821075439453
39,0.95,0.03,20.0,500,40,42.46431350708008
40,0.95,0.03,20.0,500,41,47.04909896850586
41,0.95,0.03,20.0,500,42,52.34798049926758
42,0.95,0.03,20.0,500,43,67.05097961425781
43,0.95,0.03,20.0,500,44,73.85113525390625
44,0.95,0.03,20.0,500,45,47.19469451904297
45,0.95,0.03,20.0,500,46,43.83325958251953
46,0.95,0.03,20.0,500,47,62.49296951293945
47,0.95,0.03,20.0,500,48,51.46225357055664
48,0.95,0.03,20.0,500,49,57.97471237182617
49,0.95,0.03,20.0,500,50,73.92155456542969
50,0.95,0.03,20.0,500,51,48.33735275268555
51,0.95,0.03,20.0,500,52,69.96300506591797
52,0.95,0.03,20.0,500,53,39.680564880371094
53,0.95,0.03,20.0,500,54,47.23011016845703
54,0.95,0.03,20.0,500,55,51.57683563232422
55,0.95,0.03,20.0,500,56,70.7328872680664
56,0.95,0.03,20.0,500,57,51.775814056396484
57,0.95,0.03,20.0,500,58,45.28889465332031
58,0.95,0.03,20.0,500,59,31.1315860748291
59,0.95,0.03,20.0,500,60,40.44132995605469
60,0.95,0.03,20.0,500,61,62.2809944152832
61,0.95,0.03,20.0,500,62,26.149328231811523
62,0.95,0.03,20.0,500,63,83.85531616210938
63,0.95,0.03,20.0,500,64,73.07266235351562
