,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.95,0.003,30.0,300,1,68.77644348144531
1,0.95,0.003,30.0,300,2,47.997520446777344
2,0.95,0.003,30.0,300,3,25.781423568725586
3,0.95,0.003,30.0,300,4,37.20540237426758
4,0.95,0.003,30.0,300,5,62.19929885864258
5,0.95,0.003,30.0,300,6,48.450103759765625
6,0.95,0.003,30.0,300,7,64.62736511230469
7,0.95,0.003,30.0,300,8,50.1213264465332
8,0.95,0.003,30.0,300,9,34.3564453125
9,0.95,0.003,30.0,300,10,89.57530975341797
10,0.95,0.003,30.0,300,11,61.87395477294922
11,0.95,0.003,30.0,300,12,59.46342849731445
12,0.95,0.003,30.0,300,13,30.12335205078125
13,0.95,0.003,30.0,300,14,48.527469635009766
14,0.95,0.003,30.0,300,15,63.76646423339844
15,0.95,0.003,30.0,300,16,56.159244537353516
16,0.95,0.003,30.0,300,17,74.11561584472656
17,0.95,0.003,30.0,300,18,68.01746368408203
18,0.95,0.003,30.0,300,19,31.84821128845215
19,0.95,0.003,30.0,300,20,29.057941436767578
20,0.95,0.003,30.0,300,21,55.98203659057617
21,0.95,0.003,30.0,300,22,51.081764221191406
22,0.95,0.003,30.0,300,23,44.886566162109375
23,0.95,0.003,30.0,300,24,49.06299591064453
24,0.95,0.003,30.0,300,25,49.33729934692383
25,0.95,0.003,30.0,300,26,78.09264373779297
26,0.95,0.003,30.0,300,27,37.11521911621094
27,0.95,0.003,30.0,300,28,74.32051086425781
28,0.95,0.003,30.0,300,29,56.749210357666016
29,0.95,0.003,30.0,300,30,44.99250793457031
30,0.95,0.003,30.0,300,31,81.62691497802734
31,0.95,0.003,30.0,300,32,55.124061584472656
32,0.95,0.003,30.0,300,33,75.84541320800781
33,0.95,0.003,30.0,300,34,36.724178314208984
34,0.95,0.003,30.0,300,35,96.56317138671875
35,0.95,0.003,30.0,300,36,55.87030029296875
36,0.95,0.003,30.0,300,37,47.74614334106445
37,0.95,0.003,30.0,300,38,54.318992614746094
38,0.95,0.003,30.0,300,39,57.4842529296875
39,0.95,0.003,30.0,300,40,45.01533508300781
40,0.95,0.003,30.0,300,41,44.640567779541016
41,0.95,0.003,30.0,300,42,40.648948669433594
42,0.95,0.003,30.0,300,43,54.06224822998047
43,0.95,0.003,30.0,300,44,53.45228576660156
44,0.95,0.003,30.0,300,45,41.14064407348633
45,0.95,0.003,30.0,300,46,30.864521026611328
46,0.95,0.003,30.0,300,47,47.22898483276367
47,0.95,0.003,30.0,300,48,43.750694274902344
48,0.95,0.003,30.0,300,49,44.095481872558594
49,0.95,0.003,30.0,300,50,61.13178634643555
50,0.95,0.003,30.0,300,51,54.613868713378906
51,0.95,0.003,30.0,300,52,49.475162506103516
52,0.95,0.003,30.0,300,53,29.02274513244629
53,0.95,0.003,30.0,300,54,48.30857849121094
54,0.95,0.003,30.0,300,55,51.04364013671875
55,0.95,0.003,30.0,300,56,60.33024597167969
56,0.95,0.003,30.0,300,57,53.266883850097656
57,0.95,0.003,30.0,300,58,42.98796463012695
58,0.95,0.003,30.0,300,59,79.10140991210938
59,0.95,0.003,30.0,300,60,42.93177032470703
60,0.95,0.003,30.0,300,61,81.55836486816406
61,0.95,0.003,30.0,300,62,31.189109802246094
62,0.95,0.003,30.0,300,63,65.520751953125
63,0.95,0.003,30.0,300,64,54.340999603271484
64,0.95,0.003,30.0,300,65,34.580787658691406
65,0.95,0.003,30.0,300,66,68.26570892333984
66,0.95,0.003,30.0,300,67,38.46435546875
67,0.95,0.003,30.0,300,68,69.45427703857422
68,0.95,0.003,30.0,300,69,31.4503231048584
69,0.95,0.003,30.0,300,70,63.250831604003906
70,0.95,0.003,30.0,300,71,58.44908142089844
71,0.95,0.003,30.0,300,72,36.828365325927734
72,0.95,0.003,30.0,300,73,63.46162414550781
73,0.95,0.003,30.0,300,74,41.4044303894043
74,0.95,0.003,30.0,300,75,32.477516174316406
75,0.95,0.003,30.0,300,76,41.11040115356445
76,0.95,0.003,30.0,300,77,94.39292907714844
77,0.95,0.003,30.0,300,78,53.241451263427734
78,0.95,0.003,30.0,300,79,37.05921173095703
79,0.95,0.003,30.0,300,80,76.23477935791016
80,0.95,0.003,30.0,300,81,39.36562728881836
81,0.95,0.003,30.0,300,82,44.821998596191406
82,0.95,0.003,30.0,300,84,54.632850646972656
83,0.95,0.003,30.0,300,85,43.105308532714844
84,0.95,0.003,30.0,300,86,68.06205749511719
85,0.95,0.003,30.0,300,90,63.00318145751953
86,0.95,0.003,30.0,300,91,44.785675048828125
87,0.95,0.003,30.0,300,93,29.168846130371094
88,0.95,0.003,30.0,300,94,37.48097229003906
89,0.95,0.003,30.0,300,97,70.99431610107422
90,0.95,0.003,30.0,300,98,42.4362907409668
91,0.95,0.003,30.0,300,99,52.35078811645508
92,0.95,0.003,30.0,300,100,60.94025421142578
93,0.95,0.003,30.0,300,102,58.372196197509766
94,0.95,0.003,30.0,300,103,48.58472442626953
95,0.95,0.003,30.0,300,106,60.1571159362793
96,0.95,0.003,30.0,300,107,50.006011962890625
97,0.95,0.003,30.0,300,109,50.603580474853516
98,0.95,0.003,30.0,300,111,102.66827392578125
99,0.95,0.003,30.0,300,112,36.80488586425781
100,0.95,0.003,30.0,300,113,43.79479217529297
101,0.95,0.003,30.0,300,114,42.40484619140625
102,0.95,0.003,30.0,300,115,69.49676513671875
103,0.95,0.003,30.0,300,118,48.52875518798828
104,0.95,0.003,30.0,300,121,28.739059448242188
105,0.95,0.003,30.0,300,122,42.83342742919922
106,0.95,0.003,30.0,300,123,74.18791961669922
107,0.95,0.003,30.0,300,126,58.655120849609375
108,0.95,0.003,30.0,300,127,37.65122604370117
109,0.95,0.003,30.0,300,129,57.4776725769043
110,0.95,0.003,30.0,300,132,29.25844383239746
111,0.95,0.003,30.0,300,133,43.77168273925781
112,0.95,0.003,30.0,300,139,46.102508544921875
113,0.95,0.003,30.0,300,140,74.98573303222656
114,0.95,0.003,30.0,300,142,40.77198791503906
115,0.95,0.003,30.0,300,143,64.37022399902344
116,0.95,0.003,30.0,300,144,41.69778823852539
117,0.95,0.003,30.0,300,145,48.788509368896484
118,0.95,0.003,30.0,300,148,50.62956237792969
119,0.95,0.003,30.0,300,149,70.24890899658203
120,0.95,0.003,30.0,300,154,60.85704803466797
121,0.95,0.003,30.0,300,156,64.55084991455078
122,0.95,0.003,30.0,300,158,37.135223388671875
123,0.95,0.003,30.0,300,163,33.25770568847656
124,0.95,0.003,30.0,300,166,27.56553840637207
125,0.95,0.003,30.0,300,170,58.14546585083008
126,0.95,0.003,30.0,300,173,76.53398895263672
127,0.95,0.003,30.0,300,179,44.310550689697266
128,0.95,0.003,30.0,300,183,49.297569274902344
129,0.95,0.003,30.0,300,186,38.65430450439453
130,0.95,0.003,30.0,300,190,24.90070343017578
131,0.95,0.003,30.0,300,192,26.44514274597168
132,0.95,0.003,30.0,300,196,66.06856536865234
133,0.95,0.003,30.0,300,207,50.56821823120117
134,0.95,0.003,30.0,300,210,49.74108123779297
135,0.95,0.003,30.0,300,214,37.37184143066406
136,0.95,0.003,30.0,300,215,25.299495697021484
137,0.95,0.003,30.0,300,223,35.3703727722168
138,0.95,0.003,30.0,300,254,36.713043212890625
139,0.95,0.003,30.0,300,283,74.96247100830078
140,0.95,0.003,30.0,300,289,65.63532257080078
141,0.95,0.003,30.0,300,297,42.707157135009766
142,0.95,0.003,30.0,300,302,32.93438720703125
143,0.95,0.003,30.0,300,306,48.66865539550781
144,0.95,0.003,30.0,300,307,64.73001098632812
145,0.95,0.003,30.0,300,316,50.274620056152344
146,0.95,0.003,30.0,300,319,34.33049774169922
147,0.95,0.003,30.0,300,326,49.63710403442383
148,0.95,0.003,30.0,300,332,58.48171615600586
149,0.95,0.003,30.0,300,380,42.242313385009766
