,num_samples,bws,trial,distance
0,20,16.0,1,75.56117248535156
1,20,16.0,2,84.6529312133789
2,20,16.0,3,76.59188842773438
3,20,16.0,4,96.8083267211914
4,20,16.0,5,78.07208251953125
5,20,16.0,6,70.89878845214844
6,20,16.0,7,80.38111877441406
7,20,16.0,8,65.51801300048828
8,20,16.0,9,90.03117370605469
9,20,16.0,10,59.8574333190918
10,20,16.0,11,81.76057434082031
11,20,16.0,12,118.04081726074219
12,20,16.0,13,55.190155029296875
13,20,16.0,14,84.54186248779297
14,20,16.0,15,82.96107482910156
15,20,16.0,16,94.66878509521484
16,20,16.0,17,57.61030197143555
17,20,16.0,18,92.29446411132812
18,20,16.0,19,86.07865142822266
19,20,16.0,20,95.40717315673828
20,20,16.0,21,62.51526641845703
21,20,16.0,22,52.953880310058594
22,20,16.0,23,103.9435043334961
23,20,16.0,24,89.43547058105469
24,20,16.0,25,59.80016326904297
25,20,16.0,26,80.99801635742188
26,20,16.0,27,68.42357635498047
27,20,16.0,28,93.70872497558594
28,20,16.0,29,72.63246154785156
29,20,16.0,30,80.3321762084961
30,20,16.0,31,64.79803466796875
31,20,16.0,32,74.7806625366211
32,20,16.0,33,77.37808227539062
33,20,16.0,34,69.0995864868164
34,20,16.0,35,89.19477844238281
35,20,16.0,36,62.265846252441406
36,20,16.0,37,41.31756591796875
37,20,16.0,38,73.18661499023438
38,20,16.0,39,82.91706085205078
39,20,16.0,40,89.62848663330078
40,20,16.0,41,98.97087097167969
41,20,16.0,42,88.87152862548828
42,20,16.0,43,63.43407440185547
43,20,16.0,44,95.59715270996094
44,20,16.0,45,92.16471862792969
45,20,16.0,46,98.56634521484375
46,20,16.0,47,61.17180252075195
47,20,16.0,48,48.99372863769531
48,20,16.0,49,91.27127838134766
49,20,16.0,50,77.46085357666016
50,20,16.0,51,64.9435043334961
51,20,16.0,52,77.81060791015625
52,20,16.0,53,50.422874450683594
53,20,16.0,54,56.29796600341797
54,20,16.0,55,52.84357833862305
55,20,16.0,56,75.85220336914062
56,20,16.0,57,96.2503890991211
57,20,16.0,58,62.26624298095703
58,20,16.0,59,40.91708755493164
59,20,16.0,60,98.99288940429688
60,20,16.0,61,89.70130157470703
61,20,16.0,62,47.82594299316406
62,20,16.0,63,91.57836151123047
63,20,16.0,64,78.61727142333984
64,20,16.0,65,79.7765121459961
65,20,16.0,66,66.67850494384766
66,20,16.0,67,110.41069030761719
67,20,16.0,68,71.32242584228516
68,20,16.0,69,74.4703140258789
69,20,16.0,70,91.20046997070312
70,20,16.0,71,50.3720703125
71,20,16.0,72,100.6624984741211
72,20,16.0,73,77.0745620727539
73,20,16.0,74,66.39116668701172
74,20,16.0,75,50.27953338623047
75,20,16.0,76,69.91393280029297
76,20,16.0,77,84.3779525756836
77,20,16.0,78,96.68489837646484
78,20,16.0,79,80.78114318847656
79,20,16.0,80,59.04439163208008
80,20,16.0,81,82.38832092285156
81,20,16.0,82,53.93526077270508
82,20,16.0,84,78.06034088134766
83,20,16.0,85,57.32041549682617
84,20,16.0,86,76.75875091552734
85,20,16.0,90,99.02401733398438
86,20,16.0,91,52.93054962158203
87,20,16.0,93,68.74392700195312
88,20,16.0,94,60.6195182800293
89,20,16.0,97,68.64906311035156
90,20,16.0,98,95.90656280517578
91,20,16.0,99,70.02581024169922
92,20,16.0,100,90.14968872070312
93,20,16.0,102,84.48884582519531
94,20,16.0,103,66.23853302001953
95,20,16.0,106,76.00633239746094
96,20,16.0,107,46.610084533691406
97,20,16.0,109,78.2265396118164
98,20,16.0,111,89.76907348632812
99,20,16.0,112,81.23028564453125
100,20,16.0,113,67.67262268066406
101,20,16.0,114,100.7905044555664
102,20,16.0,115,104.9879379272461
103,20,16.0,118,103.22898864746094
104,20,16.0,121,69.77598571777344
105,20,16.0,122,105.6050796508789
106,20,16.0,123,59.14129638671875
107,20,16.0,126,77.4054183959961
108,20,16.0,127,88.43793487548828
109,20,16.0,129,49.14430618286133
110,20,16.0,132,83.07312774658203
111,20,16.0,133,76.9458236694336
112,20,16.0,139,91.64787292480469
113,20,16.0,140,75.64805603027344
114,20,16.0,142,63.07549285888672
115,20,16.0,143,66.22528076171875
116,20,16.0,144,89.92953491210938
117,20,16.0,145,63.30030822753906
118,20,16.0,148,90.48848724365234
119,20,16.0,149,90.2997055053711
120,20,16.0,154,72.26802825927734
121,20,16.0,156,68.57666015625
122,20,16.0,158,111.75789642333984
123,20,16.0,163,61.84968566894531
124,20,16.0,166,46.91414260864258
125,20,16.0,170,95.0964126586914
126,20,16.0,173,111.98077392578125
127,20,16.0,179,80.80740356445312
128,20,16.0,183,88.80208587646484
129,20,16.0,186,69.91388702392578
130,20,16.0,190,108.07714080810547
131,20,16.0,192,76.56581115722656
132,20,16.0,196,90.53706359863281
133,20,16.0,207,63.81391525268555
134,20,16.0,210,89.2813949584961
135,20,16.0,214,73.60762786865234
136,20,16.0,215,67.18257904052734
137,20,16.0,223,90.5776596069336
138,20,16.0,254,84.06596374511719
139,20,16.0,283,41.1314582824707
140,20,16.0,289,86.74483489990234
141,20,16.0,297,83.01690673828125
142,20,16.0,302,89.14159393310547
143,20,16.0,306,105.69450378417969
144,20,16.0,307,94.59590148925781
145,20,16.0,316,114.1790771484375
146,20,16.0,319,99.56743621826172
147,20,16.0,326,106.8548355102539
148,20,16.0,332,103.91889953613281
149,20,16.0,380,103.27140808105469
