,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.85,0.001,20.0,700,1,79.7040023803711
1,0.85,0.001,20.0,700,2,75.77394104003906
2,0.85,0.001,20.0,700,3,31.06410789489746
3,0.85,0.001,20.0,700,4,42.88143539428711
4,0.85,0.001,20.0,700,5,60.34941482543945
5,0.85,0.001,20.0,700,6,49.970821380615234
6,0.85,0.001,20.0,700,7,51.08940887451172
7,0.85,0.001,20.0,700,8,57.87065124511719
8,0.85,0.001,20.0,700,9,36.71400833129883
9,0.85,0.001,20.0,700,10,64.04080963134766
10,0.85,0.001,20.0,700,11,77.48735046386719
11,0.85,0.001,20.0,700,12,62.85042190551758
12,0.85,0.001,20.0,700,13,38.53683853149414
13,0.85,0.001,20.0,700,14,63.96397018432617
14,0.85,0.001,20.0,700,15,92.6357192993164
15,0.85,0.001,20.0,700,16,55.969139099121094
16,0.85,0.001,20.0,700,17,114.78445434570312
17,0.85,0.001,20.0,700,18,80.474365234375
18,0.85,0.001,20.0,700,19,31.220468521118164
19,0.85,0.001,20.0,700,20,46.2525520324707
20,0.85,0.001,20.0,700,21,64.27802276611328
21,0.85,0.001,20.0,700,22,48.556434631347656
22,0.85,0.001,20.0,700,23,60.84799575805664
23,0.85,0.001,20.0,700,24,58.36537170410156
24,0.85,0.001,20.0,700,25,49.911720275878906
25,0.85,0.001,20.0,700,26,74.35535430908203
26,0.85,0.001,20.0,700,27,44.790523529052734
27,0.85,0.001,20.0,700,28,77.35462188720703
28,0.85,0.001,20.0,700,29,62.265907287597656
29,0.85,0.001,20.0,700,30,49.767757415771484
30,0.85,0.001,20.0,700,31,95.27898406982422
31,0.85,0.001,20.0,700,32,56.01266098022461
32,0.85,0.001,20.0,700,33,71.88916015625
33,0.85,0.001,20.0,700,34,37.74295425415039
34,0.85,0.001,20.0,700,35,92.19012451171875
35,0.85,0.001,20.0,700,36,71.47384643554688
36,0.85,0.001,20.0,700,37,43.0291633605957
37,0.85,0.001,20.0,700,38,54.08015060424805
38,0.85,0.001,20.0,700,39,43.722190856933594
39,0.85,0.001,20.0,700,40,41.59867858886719
40,0.85,0.001,20.0,700,41,38.1595344543457
41,0.85,0.001,20.0,700,42,48.19540786743164
42,0.85,0.001,20.0,700,43,88.12254333496094
43,0.85,0.001,20.0,700,44,47.233184814453125
44,0.85,0.001,20.0,700,45,44.481571197509766
45,0.85,0.001,20.0,700,46,28.1569881439209
