,threshold,tradeoff,bws,sample_weight,trial,distance
0,1.05,0.03,40.0,350,1,56.992916107177734
1,1.05,0.03,40.0,350,2,51.844295501708984
2,1.05,0.03,40.0,350,3,32.02622985839844
3,1.05,0.03,40.0,350,4,32.52562713623047
4,1.05,0.03,40.0,350,5,70.2800521850586
5,1.05,0.03,40.0,350,6,48.20625686645508
6,1.05,0.03,40.0,350,7,67.03890228271484
7,1.05,0.03,40.0,350,8,60.196285247802734
8,1.05,0.03,40.0,350,9,41.93111801147461
9,1.05,0.03,40.0,350,10,51.07178497314453
10,1.05,0.03,40.0,350,11,56.35712814331055
11,1.05,0.03,40.0,350,12,56.856815338134766
12,1.05,0.03,40.0,350,13,28.193857192993164
13,1.05,0.03,40.0,350,14,65.80174255371094
14,1.05,0.03,40.0,350,15,79.6280746459961
15,1.05,0.03,40.0,350,16,72.68284606933594
16,1.05,0.03,40.0,350,17,66.09771728515625
17,1.05,0.03,40.0,350,18,88.39321899414062
18,1.05,0.03,40.0,350,19,35.50944900512695
19,1.05,0.03,40.0,350,20,34.70087814331055
20,1.05,0.03,40.0,350,21,69.02802276611328
21,1.05,0.03,40.0,350,22,41.973690032958984
22,1.05,0.03,40.0,350,23,56.487491607666016
23,1.05,0.03,40.0,350,24,46.91727828979492
24,1.05,0.03,40.0,350,25,68.05699920654297
25,1.05,0.03,40.0,350,26,83.4176025390625
26,1.05,0.03,40.0,350,27,27.581418991088867
27,1.05,0.03,40.0,350,28,94.22715759277344
28,1.05,0.03,40.0,350,29,45.55572509765625
29,1.05,0.03,40.0,350,30,44.19479751586914
30,1.05,0.03,40.0,350,31,63.02264404296875
31,1.05,0.03,40.0,350,32,54.121089935302734
32,1.05,0.03,40.0,350,33,71.32350158691406
33,1.05,0.03,40.0,350,34,39.35527801513672
34,1.05,0.03,40.0,350,35,79.94400787353516
35,1.05,0.03,40.0,350,36,43.971710205078125
36,1.05,0.03,40.0,350,37,48.42552947998047
37,1.05,0.03,40.0,350,38,44.363731384277344
38,1.05,0.03,40.0,350,39,46.10117721557617
39,1.05,0.03,40.0,350,40,45.621620178222656
40,1.05,0.03,40.0,350,41,45.26092529296875
41,1.05,0.03,40.0,350,42,57.05595016479492
42,1.05,0.03,40.0,350,43,43.59391784667969
43,1.05,0.03,40.0,350,44,61.475711822509766
44,1.05,0.03,40.0,350,45,44.67148971557617
45,1.05,0.03,40.0,350,46,30.678775787353516
46,1.05,0.03,40.0,350,47,58.872249603271484
47,1.05,0.03,40.0,350,48,36.787906646728516
48,1.05,0.03,40.0,350,49,39.11482620239258
49,1.05,0.03,40.0,350,50,66.43988037109375
50,1.05,0.03,40.0,350,51,44.61327362060547
51,1.05,0.03,40.0,350,52,65.28300476074219
52,1.05,0.03,40.0,350,53,28.046588897705078
53,1.05,0.03,40.0,350,54,49.39641571044922
54,1.05,0.03,40.0,350,55,49.061519622802734
55,1.05,0.03,40.0,350,56,52.512699127197266
56,1.05,0.03,40.0,350,57,60.88406753540039
57,1.05,0.03,40.0,350,58,39.382564544677734
58,1.05,0.03,40.0,350,59,37.871185302734375
59,1.05,0.03,40.0,350,60,44.42912292480469
60,1.05,0.03,40.0,350,61,71.89781951904297
61,1.05,0.03,40.0,350,62,31.777904510498047
62,1.05,0.03,40.0,350,63,73.33018493652344
63,1.05,0.03,40.0,350,64,73.81253814697266
64,1.05,0.03,40.0,350,65,39.42985153198242
65,1.05,0.03,40.0,350,66,69.6359634399414
66,1.05,0.03,40.0,350,67,45.89485168457031
67,1.05,0.03,40.0,350,68,63.391937255859375
68,1.05,0.03,40.0,350,69,37.22976303100586
