,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.75,0.03,10.0,650,1,48.10191345214844
1,0.75,0.03,10.0,650,2,62.37001037597656
2,0.75,0.03,10.0,650,3,32.56003952026367
3,0.75,0.03,10.0,650,4,63.57185745239258
4,0.75,0.03,10.0,650,5,69.52059936523438
5,0.75,0.03,10.0,650,6,48.97157669067383
6,0.75,0.03,10.0,650,7,70.27558135986328
7,0.75,0.03,10.0,650,8,78.02182006835938
8,0.75,0.03,10.0,650,9,34.02091979980469
9,0.75,0.03,10.0,650,10,56.818077087402344
10,0.75,0.03,10.0,650,11,76.90200805664062
11,0.75,0.03,10.0,650,12,79.39274597167969
12,0.75,0.03,10.0,650,13,44.16535949707031
13,0.75,0.03,10.0,650,14,72.242919921875
14,0.75,0.03,10.0,650,15,75.82963562011719
15,0.75,0.03,10.0,650,16,81.8139877319336
16,0.75,0.03,10.0,650,17,57.373531341552734
17,0.75,0.03,10.0,650,18,90.34571838378906
18,0.75,0.03,10.0,650,19,57.654563903808594
19,0.75,0.03,10.0,650,20,48.44026565551758
20,0.75,0.03,10.0,650,21,35.94160842895508
21,0.75,0.03,10.0,650,22,60.90666580200195
22,0.75,0.03,10.0,650,23,76.32808685302734
23,0.75,0.03,10.0,650,24,61.71195602416992
24,0.75,0.03,10.0,650,25,74.3530502319336
25,0.75,0.03,10.0,650,26,70.58893585205078
26,0.75,0.03,10.0,650,27,62.10861587524414
27,0.75,0.03,10.0,650,28,84.08038330078125
28,0.75,0.03,10.0,650,29,63.95154571533203
29,0.75,0.03,10.0,650,30,38.567359924316406
30,0.75,0.03,10.0,650,31,73.84981536865234
31,0.75,0.03,10.0,650,32,41.83731460571289
32,0.75,0.03,10.0,650,33,55.035701751708984
33,0.75,0.03,10.0,650,34,35.75607681274414
34,0.75,0.03,10.0,650,35,93.31995391845703
35,0.75,0.03,10.0,650,36,59.32209014892578
36,0.75,0.03,10.0,650,37,54.66421127319336
37,0.75,0.03,10.0,650,38,57.546897888183594
38,0.75,0.03,10.0,650,39,66.5404052734375
39,0.75,0.03,10.0,650,40,56.27816390991211
40,0.75,0.03,10.0,650,41,82.77161407470703
41,0.75,0.03,10.0,650,42,71.81881713867188
42,0.75,0.03,10.0,650,43,55.52901840209961
43,0.75,0.03,10.0,650,44,89.40801239013672
44,0.75,0.03,10.0,650,45,43.15047073364258
45,0.75,0.03,10.0,650,46,55.998077392578125
46,0.75,0.03,10.0,650,47,60.279212951660156
47,0.75,0.03,10.0,650,48,51.76936721801758
48,0.75,0.03,10.0,650,49,84.5665512084961
49,0.75,0.03,10.0,650,50,76.35908508300781
50,0.75,0.03,10.0,650,51,57.93586730957031
51,0.75,0.03,10.0,650,52,71.16519165039062
52,0.75,0.03,10.0,650,53,59.34462356567383
53,0.75,0.03,10.0,650,54,56.50872039794922
54,0.75,0.03,10.0,650,55,52.06441879272461
55,0.75,0.03,10.0,650,56,72.70317840576172
56,0.75,0.03,10.0,650,57,55.94901657104492
57,0.75,0.03,10.0,650,58,67.1236572265625
58,0.75,0.03,10.0,650,59,43.31953048706055
59,0.75,0.03,10.0,650,60,81.81626892089844
