,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.75,0.003,20.0,650,1,70.0218276977539
1,0.75,0.003,20.0,650,2,58.894683837890625
2,0.75,0.003,20.0,650,3,55.60383605957031
3,0.75,0.003,20.0,650,4,39.442073822021484
4,0.75,0.003,20.0,650,5,58.54515075683594
5,0.75,0.003,20.0,650,6,64.1312026977539
6,0.75,0.003,20.0,650,7,61.35931396484375
7,0.75,0.003,20.0,650,8,61.373802185058594
8,0.75,0.003,20.0,650,9,48.27773666381836
9,0.75,0.003,20.0,650,10,112.86116027832031
10,0.75,0.003,20.0,650,11,82.58252716064453
11,0.75,0.003,20.0,650,12,59.45136260986328
12,0.75,0.003,20.0,650,13,39.095943450927734
13,0.75,0.003,20.0,650,14,77.37590026855469
14,0.75,0.003,20.0,650,15,75.5827407836914
15,0.75,0.003,20.0,650,16,61.2022590637207
16,0.75,0.003,20.0,650,17,102.41739654541016
17,0.75,0.003,20.0,650,18,73.271484375
18,0.75,0.003,20.0,650,19,28.053884506225586
19,0.75,0.003,20.0,650,20,38.62775421142578
20,0.75,0.003,20.0,650,21,59.261966705322266
21,0.75,0.003,20.0,650,22,44.43621826171875
22,0.75,0.003,20.0,650,23,55.57591247558594
23,0.75,0.003,20.0,650,24,61.693485260009766
24,0.75,0.003,20.0,650,25,52.61024856567383
25,0.75,0.003,20.0,650,26,78.21346282958984
26,0.75,0.003,20.0,650,27,41.81989669799805
27,0.75,0.003,20.0,650,28,72.9801025390625
28,0.75,0.003,20.0,650,29,80.53801727294922
29,0.75,0.003,20.0,650,30,48.0692253112793
30,0.75,0.003,20.0,650,31,136.1365966796875
31,0.75,0.003,20.0,650,32,53.51710891723633
32,0.75,0.003,20.0,650,33,75.41656494140625
33,0.75,0.003,20.0,650,34,32.5048713684082
34,0.75,0.003,20.0,650,35,93.36321258544922
35,0.75,0.003,20.0,650,36,59.95991134643555
36,0.75,0.003,20.0,650,37,32.83588790893555
37,0.75,0.003,20.0,650,38,60.6093864440918
38,0.75,0.003,20.0,650,39,95.93199920654297
39,0.75,0.003,20.0,650,40,50.826263427734375
40,0.75,0.003,20.0,650,41,41.81782531738281
41,0.75,0.003,20.0,650,42,41.48074722290039
