,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.95,0.03,30.0,550,1,67.54913330078125
1,0.95,0.03,30.0,550,2,45.161685943603516
2,0.95,0.03,30.0,550,3,22.839027404785156
3,0.95,0.03,30.0,550,4,41.32667922973633
4,0.95,0.03,30.0,550,5,69.240966796875
5,0.95,0.03,30.0,550,6,50.70077896118164
6,0.95,0.03,30.0,550,7,57.98586654663086
7,0.95,0.03,30.0,550,8,51.75259017944336
8,0.95,0.03,30.0,550,9,23.35106086730957
9,0.95,0.03,30.0,550,10,68.90465545654297
10,0.95,0.03,30.0,550,11,54.84621047973633
11,0.95,0.03,30.0,550,12,65.78648376464844
12,0.95,0.03,30.0,550,13,39.65922546386719
13,0.95,0.03,30.0,550,14,31.61663246154785
14,0.95,0.03,30.0,550,15,66.15299987792969
15,0.95,0.03,30.0,550,16,72.45742797851562
16,0.95,0.03,30.0,550,17,55.09035110473633
17,0.95,0.03,30.0,550,18,77.53556060791016
18,0.95,0.03,30.0,550,19,26.939802169799805
19,0.95,0.03,30.0,550,20,49.6796875
20,0.95,0.03,30.0,550,21,59.60720443725586
21,0.95,0.03,30.0,550,22,46.121063232421875
22,0.95,0.03,30.0,550,23,53.05205154418945
23,0.95,0.03,30.0,550,24,45.20380783081055
24,0.95,0.03,30.0,550,25,54.21668243408203
25,0.95,0.03,30.0,550,26,76.5052261352539
26,0.95,0.03,30.0,550,27,47.60105514526367
27,0.95,0.03,30.0,550,28,89.41883087158203
28,0.95,0.03,30.0,550,29,56.092132568359375
29,0.95,0.03,30.0,550,30,44.67645263671875
30,0.95,0.03,30.0,550,31,66.4593276977539
31,0.95,0.03,30.0,550,32,58.225730895996094
32,0.95,0.03,30.0,550,33,65.51114654541016
33,0.95,0.03,30.0,550,34,31.730375289916992
34,0.95,0.03,30.0,550,35,85.23281860351562
35,0.95,0.03,30.0,550,36,51.02749252319336
36,0.95,0.03,30.0,550,37,47.943458557128906
37,0.95,0.03,30.0,550,38,51.60740661621094
38,0.95,0.03,30.0,550,39,49.367767333984375
39,0.95,0.03,30.0,550,40,38.717586517333984
40,0.95,0.03,30.0,550,41,39.356292724609375
41,0.95,0.03,30.0,550,42,60.60343933105469
42,0.95,0.03,30.0,550,43,46.102325439453125
43,0.95,0.03,30.0,550,44,57.647178649902344
44,0.95,0.03,30.0,550,45,38.09323501586914
45,0.95,0.03,30.0,550,46,43.54869842529297
46,0.95,0.03,30.0,550,47,68.42599487304688
47,0.95,0.03,30.0,550,48,50.259544372558594
48,0.95,0.03,30.0,550,49,42.72115707397461
49,0.95,0.03,30.0,550,50,73.74014282226562
50,0.95,0.03,30.0,550,51,48.30130386352539
51,0.95,0.03,30.0,550,52,79.21747589111328
52,0.95,0.03,30.0,550,53,54.316078186035156
53,0.95,0.03,30.0,550,54,42.28562927246094
54,0.95,0.03,30.0,550,55,60.64258575439453
55,0.95,0.03,30.0,550,56,75.3705825805664
56,0.95,0.03,30.0,550,57,50.67894744873047
57,0.95,0.03,30.0,550,58,41.944732666015625
58,0.95,0.03,30.0,550,59,28.041654586791992
59,0.95,0.03,30.0,550,60,35.51742935180664
60,0.95,0.03,30.0,550,61,58.27439498901367
61,0.95,0.03,30.0,550,62,29.839130401611328
62,0.95,0.03,30.0,550,63,82.90446472167969
63,0.95,0.03,30.0,550,64,80.69762420654297
64,0.95,0.03,30.0,550,65,39.53535461425781
65,0.95,0.03,30.0,550,66,67.5237808227539
66,0.95,0.03,30.0,550,67,39.977882385253906
67,0.95,0.03,30.0,550,68,52.36618423461914
68,0.95,0.03,30.0,550,69,26.27680015563965
69,0.95,0.03,30.0,550,70,71.52301025390625
70,0.95,0.03,30.0,550,71,38.62873458862305
71,0.95,0.03,30.0,550,72,33.85196304321289
72,0.95,0.03,30.0,550,73,64.28306579589844
73,0.95,0.03,30.0,550,74,56.55036163330078
74,0.95,0.03,30.0,550,75,32.59265899658203
75,0.95,0.03,30.0,550,76,43.09103012084961
76,0.95,0.03,30.0,550,77,72.3587646484375
77,0.95,0.03,30.0,550,78,53.86676788330078
78,0.95,0.03,30.0,550,79,40.04277420043945
79,0.95,0.03,30.0,550,80,82.59698486328125
80,0.95,0.03,30.0,550,81,45.134037017822266
81,0.95,0.03,30.0,550,82,54.30830383300781
82,0.95,0.03,30.0,550,84,54.9146842956543
83,0.95,0.03,30.0,550,85,46.390541076660156
84,0.95,0.03,30.0,550,86,74.93559265136719
85,0.95,0.03,30.0,550,90,54.905967712402344
86,0.95,0.03,30.0,550,91,51.654563903808594
87,0.95,0.03,30.0,550,93,28.679906845092773
88,0.95,0.03,30.0,550,94,29.35091781616211
89,0.95,0.03,30.0,550,97,55.82184982299805
90,0.95,0.03,30.0,550,98,41.24900817871094
91,0.95,0.03,30.0,550,99,53.961692810058594
92,0.95,0.03,30.0,550,100,72.20526123046875
93,0.95,0.03,30.0,550,102,59.054080963134766
94,0.95,0.03,30.0,550,103,48.32120132446289
95,0.95,0.03,30.0,550,106,64.17076873779297
96,0.95,0.03,30.0,550,107,33.32447052001953
97,0.95,0.03,30.0,550,109,52.735408782958984
98,0.95,0.03,30.0,550,111,93.58167266845703
99,0.95,0.03,30.0,550,112,57.92803955078125
100,0.95,0.03,30.0,550,113,42.792972564697266
101,0.95,0.03,30.0,550,114,32.06048583984375
102,0.95,0.03,30.0,550,115,81.98448944091797
103,0.95,0.03,30.0,550,118,59.87711715698242
104,0.95,0.03,30.0,550,121,29.5081844329834
105,0.95,0.03,30.0,550,122,58.5150260925293
106,0.95,0.03,30.0,550,123,77.96110534667969
107,0.95,0.03,30.0,550,126,62.518272399902344
108,0.95,0.03,30.0,550,127,37.560874938964844
109,0.95,0.03,30.0,550,129,49.74563980102539
110,0.95,0.03,30.0,550,132,38.189735412597656
111,0.95,0.03,30.0,550,133,42.04206848144531
112,0.95,0.03,30.0,550,139,45.964447021484375
113,0.95,0.03,30.0,550,140,81.48082733154297
114,0.95,0.03,30.0,550,142,55.927581787109375
115,0.95,0.03,30.0,550,143,61.01251220703125
116,0.95,0.03,30.0,550,144,34.570152282714844
117,0.95,0.03,30.0,550,145,43.85598373413086
