,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.95,0.01,40.0,300,1,72.51213836669922
1,0.95,0.01,40.0,300,2,40.699928283691406
2,0.95,0.01,40.0,300,3,29.331039428710938
3,0.95,0.01,40.0,300,4,41.66939163208008
4,0.95,0.01,40.0,300,5,59.62852096557617
5,0.95,0.01,40.0,300,6,54.18159484863281
6,0.95,0.01,40.0,300,7,63.1055908203125
7,0.95,0.01,40.0,300,8,61.5302848815918
8,0.95,0.01,40.0,300,9,43.08540344238281
9,0.95,0.01,40.0,300,10,103.60890197753906
10,0.95,0.01,40.0,300,11,64.306640625
11,0.95,0.01,40.0,300,12,47.844207763671875
12,0.95,0.01,40.0,300,13,32.344566345214844
13,0.95,0.01,40.0,300,14,39.07514572143555
14,0.95,0.01,40.0,300,15,69.7239990234375
15,0.95,0.01,40.0,300,16,49.54241180419922
16,0.95,0.01,40.0,300,17,81.57809448242188
17,0.95,0.01,40.0,300,18,65.28849029541016
18,0.95,0.01,40.0,300,19,37.27760314941406
19,0.95,0.01,40.0,300,20,32.61949920654297
20,0.95,0.01,40.0,300,21,61.21912384033203
21,0.95,0.01,40.0,300,22,38.53977584838867
22,0.95,0.01,40.0,300,23,41.587249755859375
23,0.95,0.01,40.0,300,24,55.2679443359375
24,0.95,0.01,40.0,300,25,47.75824737548828
25,0.95,0.01,40.0,300,26,85.4677734375
26,0.95,0.01,40.0,300,27,43.20099639892578
27,0.95,0.01,40.0,300,28,68.89234161376953
28,0.95,0.01,40.0,300,29,70.2870101928711
29,0.95,0.01,40.0,300,30,51.96308135986328
30,0.95,0.01,40.0,300,31,84.24419403076172
31,0.95,0.01,40.0,300,32,58.226402282714844
32,0.95,0.01,40.0,300,33,80.98948669433594
33,0.95,0.01,40.0,300,34,34.757938385009766
34,0.95,0.01,40.0,300,35,95.17880249023438
35,0.95,0.01,40.0,300,36,56.981815338134766
36,0.95,0.01,40.0,300,37,40.98594665527344
37,0.95,0.01,40.0,300,38,61.22412109375
38,0.95,0.01,40.0,300,39,55.1539306640625
39,0.95,0.01,40.0,300,40,45.12778854370117
40,0.95,0.01,40.0,300,41,46.33220291137695
41,0.95,0.01,40.0,300,42,34.21012496948242
42,0.95,0.01,40.0,300,43,66.22051239013672
43,0.95,0.01,40.0,300,44,54.94405746459961
44,0.95,0.01,40.0,300,45,47.71217727661133
45,0.95,0.01,40.0,300,46,35.40755081176758
46,0.95,0.01,40.0,300,47,52.70290756225586
47,0.95,0.01,40.0,300,48,56.5012321472168
48,0.95,0.01,40.0,300,49,46.02787780761719
49,0.95,0.01,40.0,300,50,66.63961791992188
50,0.95,0.01,40.0,300,51,59.70648193359375
51,0.95,0.01,40.0,300,52,56.296146392822266
52,0.95,0.01,40.0,300,53,29.999488830566406
