,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.75,0.1,20.0,350,1,60.000465393066406
1,0.75,0.1,20.0,350,2,62.35608673095703
2,0.75,0.1,20.0,350,3,66.20011901855469
3,0.75,0.1,20.0,350,4,74.90984344482422
4,0.75,0.1,20.0,350,5,72.19171142578125
5,0.75,0.1,20.0,350,6,63.03150177001953
6,0.75,0.1,20.0,350,7,69.53825378417969
7,0.75,0.1,20.0,350,8,50.57890701293945
8,0.75,0.1,20.0,350,9,65.20289611816406
9,0.75,0.1,20.0,350,10,63.01215362548828
10,0.75,0.1,20.0,350,11,77.43616485595703
11,0.75,0.1,20.0,350,12,78.43936157226562
12,0.75,0.1,20.0,350,13,44.0283317565918
13,0.75,0.1,20.0,350,14,83.16281127929688
14,0.75,0.1,20.0,350,15,75.23169708251953
15,0.75,0.1,20.0,350,16,77.58954620361328
16,0.75,0.1,20.0,350,17,55.18119430541992
17,0.75,0.1,20.0,350,18,83.77915954589844
18,0.75,0.1,20.0,350,19,71.66751098632812
19,0.75,0.1,20.0,350,20,77.61598205566406
20,0.75,0.1,20.0,350,21,52.431636810302734
21,0.75,0.1,20.0,350,22,46.15079879760742
22,0.75,0.1,20.0,350,23,70.30187225341797
23,0.75,0.1,20.0,350,24,95.45469665527344
24,0.75,0.1,20.0,350,25,53.363433837890625
25,0.75,0.1,20.0,350,26,71.53199768066406
26,0.75,0.1,20.0,350,27,77.8797836303711
27,0.75,0.1,20.0,350,28,81.3390121459961
28,0.75,0.1,20.0,350,29,62.18408966064453
29,0.75,0.1,20.0,350,30,73.91138458251953
30,0.75,0.1,20.0,350,31,71.21955871582031
31,0.75,0.1,20.0,350,32,61.74583435058594
32,0.75,0.1,20.0,350,33,53.71182632446289
33,0.75,0.1,20.0,350,34,45.412803649902344
34,0.75,0.1,20.0,350,35,91.43577575683594
35,0.75,0.1,20.0,350,36,57.77619552612305
36,0.75,0.1,20.0,350,37,43.831626892089844
37,0.75,0.1,20.0,350,38,57.869468688964844
38,0.75,0.1,20.0,350,39,81.52645111083984
39,0.75,0.1,20.0,350,40,78.71372985839844
40,0.75,0.1,20.0,350,41,83.49452209472656
41,0.75,0.1,20.0,350,42,78.59512329101562
42,0.75,0.1,20.0,350,43,55.07748794555664
43,0.75,0.1,20.0,350,44,91.38634490966797
44,0.75,0.1,20.0,350,45,70.42833709716797
45,0.75,0.1,20.0,350,46,80.02192687988281
46,0.75,0.1,20.0,350,47,68.55778503417969
47,0.75,0.1,20.0,350,48,50.923370361328125
48,0.75,0.1,20.0,350,49,91.28996276855469
49,0.75,0.1,20.0,350,50,72.99771881103516
50,0.75,0.1,20.0,350,51,59.63220977783203
51,0.75,0.1,20.0,350,52,69.84481048583984
52,0.75,0.1,20.0,350,53,54.14937973022461
53,0.75,0.1,20.0,350,54,59.121055603027344
54,0.75,0.1,20.0,350,55,50.431827545166016
