,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.85,0.003,40.0,600,1,76.30997467041016
1,0.85,0.003,40.0,600,2,72.06275177001953
2,0.85,0.003,40.0,600,3,29.794965744018555
3,0.85,0.003,40.0,600,4,43.719905853271484
4,0.85,0.003,40.0,600,5,54.13074493408203
5,0.85,0.003,40.0,600,6,62.44911575317383
6,0.85,0.003,40.0,600,7,60.165348052978516
7,0.85,0.003,40.0,600,8,70.71875762939453
8,0.85,0.003,40.0,600,9,46.73539733886719
9,0.85,0.003,40.0,600,10,87.03461456298828
10,0.85,0.003,40.0,600,11,64.5252914428711
11,0.85,0.003,40.0,600,12,42.486915588378906
12,0.85,0.003,40.0,600,13,34.392356872558594
13,0.85,0.003,40.0,600,14,54.06964874267578
14,0.85,0.003,40.0,600,15,75.76751708984375
15,0.85,0.003,40.0,600,16,55.18149948120117
16,0.85,0.003,40.0,600,17,88.41024017333984
17,0.85,0.003,40.0,600,18,67.7110824584961
18,0.85,0.003,40.0,600,19,52.171600341796875
19,0.85,0.003,40.0,600,20,42.819339752197266
20,0.85,0.003,40.0,600,21,61.82334899902344
21,0.85,0.003,40.0,600,22,51.701168060302734
22,0.85,0.003,40.0,600,23,44.306724548339844
23,0.85,0.003,40.0,600,24,55.19985580444336
24,0.85,0.003,40.0,600,25,47.580223083496094
25,0.85,0.003,40.0,600,26,91.26368713378906
26,0.85,0.003,40.0,600,27,53.22806167602539
27,0.85,0.003,40.0,600,28,71.13072967529297
28,0.85,0.003,40.0,600,29,95.94351196289062
29,0.85,0.003,40.0,600,30,61.443111419677734
30,0.85,0.003,40.0,600,31,97.58558654785156
31,0.85,0.003,40.0,600,32,61.35403823852539
32,0.85,0.003,40.0,600,33,81.74583435058594
33,0.85,0.003,40.0,600,34,34.79057693481445
34,0.85,0.003,40.0,600,35,99.73533630371094
35,0.85,0.003,40.0,600,36,57.070499420166016
36,0.85,0.003,40.0,600,37,43.322052001953125
37,0.85,0.003,40.0,600,38,54.162200927734375
38,0.85,0.003,40.0,600,39,67.59266662597656
39,0.85,0.003,40.0,600,40,46.53452682495117
40,0.85,0.003,40.0,600,41,51.592979431152344
41,0.85,0.003,40.0,600,42,38.831138610839844
42,0.85,0.003,40.0,600,43,64.11011505126953
43,0.85,0.003,40.0,600,44,43.61461639404297
44,0.85,0.003,40.0,600,45,47.55976104736328
45,0.85,0.003,40.0,600,46,43.17018127441406
46,0.85,0.003,40.0,600,47,52.46476364135742
47,0.85,0.003,40.0,600,48,77.65093231201172
48,0.85,0.003,40.0,600,49,55.02537155151367
49,0.85,0.003,40.0,600,50,53.572105407714844
50,0.85,0.003,40.0,600,51,68.04994201660156
51,0.85,0.003,40.0,600,52,67.66828918457031
52,0.85,0.003,40.0,600,53,38.621177673339844
53,0.85,0.003,40.0,600,54,44.03639221191406
54,0.85,0.003,40.0,600,55,55.039031982421875
55,0.85,0.003,40.0,600,56,70.45796966552734
56,0.85,0.003,40.0,600,57,59.44377517700195
57,0.85,0.003,40.0,600,58,44.795562744140625
58,0.85,0.003,40.0,600,59,47.42917251586914
59,0.85,0.003,40.0,600,60,45.068321228027344
60,0.85,0.003,40.0,600,61,79.31288146972656
61,0.85,0.003,40.0,600,62,31.3094539642334
62,0.85,0.003,40.0,600,63,85.09989166259766
63,0.85,0.003,40.0,600,64,51.90376281738281
64,0.85,0.003,40.0,600,65,33.15565490722656
65,0.85,0.003,40.0,600,66,53.4375114440918
66,0.85,0.003,40.0,600,67,51.687740325927734
67,0.85,0.003,40.0,600,68,89.90802001953125
68,0.85,0.003,40.0,600,69,37.90873336791992
69,0.85,0.003,40.0,600,70,26.85919952392578
70,0.85,0.003,40.0,600,71,49.108150482177734
71,0.85,0.003,40.0,600,72,45.76321029663086
72,0.85,0.003,40.0,600,73,66.50434112548828
73,0.85,0.003,40.0,600,74,43.92646026611328
74,0.85,0.003,40.0,600,75,45.48920440673828
75,0.85,0.003,40.0,600,76,67.01866149902344
76,0.85,0.003,40.0,600,77,86.48748016357422
77,0.85,0.003,40.0,600,78,64.4697265625
78,0.85,0.003,40.0,600,79,56.531734466552734
79,0.85,0.003,40.0,600,80,82.64917755126953
80,0.85,0.003,40.0,600,81,44.59728240966797
81,0.85,0.003,40.0,600,82,53.129730224609375
82,0.85,0.003,40.0,600,84,52.86429214477539
83,0.85,0.003,40.0,600,85,31.182798385620117
84,0.85,0.003,40.0,600,86,58.37592697143555
85,0.85,0.003,40.0,600,90,59.36503601074219
86,0.85,0.003,40.0,600,91,37.208763122558594
87,0.85,0.003,40.0,600,93,33.89498519897461
88,0.85,0.003,40.0,600,94,40.731136322021484
89,0.85,0.003,40.0,600,97,124.4213638305664
90,0.85,0.003,40.0,600,98,52.77695083618164
91,0.85,0.003,40.0,600,99,44.7547607421875
92,0.85,0.003,40.0,600,100,44.13606262207031
93,0.85,0.003,40.0,600,102,57.6268196105957
94,0.85,0.003,40.0,600,103,28.87295150756836
95,0.85,0.003,40.0,600,106,62.58962631225586
96,0.85,0.003,40.0,600,107,69.23345947265625
97,0.85,0.003,40.0,600,109,43.93459701538086
98,0.85,0.003,40.0,600,111,123.03453826904297
99,0.85,0.003,40.0,600,112,52.650230407714844
100,0.85,0.003,40.0,600,113,46.409576416015625
101,0.85,0.003,40.0,600,114,61.89677047729492
102,0.85,0.003,40.0,600,115,56.43050765991211
103,0.85,0.003,40.0,600,118,50.96719741821289
104,0.85,0.003,40.0,600,121,33.79927062988281
105,0.85,0.003,40.0,600,122,47.1248664855957
106,0.85,0.003,40.0,600,123,95.99143981933594
107,0.85,0.003,40.0,600,126,48.838199615478516
108,0.85,0.003,40.0,600,127,51.70578384399414
109,0.85,0.003,40.0,600,129,77.90043640136719
110,0.85,0.003,40.0,600,132,38.044742584228516
111,0.85,0.003,40.0,600,133,44.50141143798828
112,0.85,0.003,40.0,600,139,61.25010299682617
113,0.85,0.003,40.0,600,140,79.44249725341797
114,0.85,0.003,40.0,600,142,40.659603118896484
115,0.85,0.003,40.0,600,143,78.49313354492188
116,0.85,0.003,40.0,600,144,38.04243469238281
117,0.85,0.003,40.0,600,145,42.68850326538086
118,0.85,0.003,40.0,600,148,52.70720672607422
119,0.85,0.003,40.0,600,149,53.66608428955078
120,0.85,0.003,40.0,600,154,70.3138198852539
121,0.85,0.003,40.0,600,156,64.77108001708984
122,0.85,0.003,40.0,600,158,32.045902252197266
123,0.85,0.003,40.0,600,163,61.36138153076172
124,0.85,0.003,40.0,600,166,44.24855041503906
125,0.85,0.003,40.0,600,170,66.13679504394531
126,0.85,0.003,40.0,600,173,53.28318786621094
127,0.85,0.003,40.0,600,179,51.079715728759766
128,0.85,0.003,40.0,600,183,60.24614715576172
129,0.85,0.003,40.0,600,186,39.21952438354492
130,0.85,0.003,40.0,600,190,36.13701248168945
131,0.85,0.003,40.0,600,192,32.925289154052734
132,0.85,0.003,40.0,600,196,72.40760803222656
133,0.85,0.003,40.0,600,207,40.50019836425781
134,0.85,0.003,40.0,600,210,48.03080368041992
135,0.85,0.003,40.0,600,214,38.200035095214844
136,0.85,0.003,40.0,600,215,31.31990623474121
137,0.85,0.003,40.0,600,223,33.62075424194336
138,0.85,0.003,40.0,600,254,38.82337188720703
139,0.85,0.003,40.0,600,283,97.9766616821289
140,0.85,0.003,40.0,600,289,78.1402359008789
141,0.85,0.003,40.0,600,297,49.9606819152832
142,0.85,0.003,40.0,600,302,40.18785858154297
143,0.85,0.003,40.0,600,306,45.77880096435547
144,0.85,0.003,40.0,600,307,64.03612518310547
145,0.85,0.003,40.0,600,316,50.95022964477539
146,0.85,0.003,40.0,600,319,43.93860626220703
147,0.85,0.003,40.0,600,326,55.14337158203125
148,0.85,0.003,40.0,600,332,57.983333587646484
149,0.85,0.003,40.0,600,380,45.82268142700195
