,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.9,0.003,40.0,400,1,65.51376342773438
1,0.9,0.003,40.0,400,2,64.75553131103516
2,0.9,0.003,40.0,400,3,34.9248161315918
3,0.9,0.003,40.0,400,4,42.202735900878906
4,0.9,0.003,40.0,400,5,48.84912872314453
5,0.9,0.003,40.0,400,6,49.99055099487305
6,0.9,0.003,40.0,400,7,58.27416229248047
7,0.9,0.003,40.0,400,8,80.35646057128906
8,0.9,0.003,40.0,400,9,35.87715148925781
9,0.9,0.003,40.0,400,10,85.19053649902344
10,0.9,0.003,40.0,400,11,59.86038589477539
11,0.9,0.003,40.0,400,12,48.1933479309082
12,0.9,0.003,40.0,400,13,35.029518127441406
13,0.9,0.003,40.0,400,14,42.31022262573242
14,0.9,0.003,40.0,400,15,85.25871276855469
15,0.9,0.003,40.0,400,16,60.98060989379883
16,0.9,0.003,40.0,400,17,83.0587387084961
17,0.9,0.003,40.0,400,18,65.73561096191406
18,0.9,0.003,40.0,400,19,46.37992477416992
19,0.9,0.003,40.0,400,20,42.030792236328125
20,0.9,0.003,40.0,400,21,65.81103515625
21,0.9,0.003,40.0,400,22,47.63357925415039
22,0.9,0.003,40.0,400,23,34.92414093017578
23,0.9,0.003,40.0,400,24,67.38075256347656
24,0.9,0.003,40.0,400,25,55.90134811401367
25,0.9,0.003,40.0,400,26,88.03250885009766
26,0.9,0.003,40.0,400,27,53.09871292114258
27,0.9,0.003,40.0,400,28,70.23674011230469
28,0.9,0.003,40.0,400,29,83.6810302734375
29,0.9,0.003,40.0,400,30,48.89333724975586
30,0.9,0.003,40.0,400,31,88.66802978515625
31,0.9,0.003,40.0,400,32,48.452632904052734
32,0.9,0.003,40.0,400,33,86.5920181274414
33,0.9,0.003,40.0,400,34,40.94416046142578
34,0.9,0.003,40.0,400,35,100.29741668701172
35,0.9,0.003,40.0,400,36,53.41737747192383
36,0.9,0.003,40.0,400,37,42.22687911987305
37,0.9,0.003,40.0,400,38,50.96255874633789
38,0.9,0.003,40.0,400,39,55.42531967163086
39,0.9,0.003,40.0,400,40,49.45491409301758
40,0.9,0.003,40.0,400,41,46.807167053222656
41,0.9,0.003,40.0,400,42,38.78181838989258
42,0.9,0.003,40.0,400,43,56.82551574707031
43,0.9,0.003,40.0,400,44,47.09040069580078
44,0.9,0.003,40.0,400,45,54.79365158081055
45,0.9,0.003,40.0,400,46,43.764408111572266
46,0.9,0.003,40.0,400,47,47.41900634765625
47,0.9,0.003,40.0,400,48,62.63771438598633
48,0.9,0.003,40.0,400,49,45.05289840698242
49,0.9,0.003,40.0,400,50,54.61796951293945
50,0.9,0.003,40.0,400,51,62.45871353149414
51,0.9,0.003,40.0,400,52,54.27015686035156
52,0.9,0.003,40.0,400,53,32.645286560058594
53,0.9,0.003,40.0,400,54,46.269744873046875
54,0.9,0.003,40.0,400,55,49.50008010864258
55,0.9,0.003,40.0,400,56,71.7469482421875
56,0.9,0.003,40.0,400,57,58.316898345947266
57,0.9,0.003,40.0,400,58,53.49363327026367
58,0.9,0.003,40.0,400,59,35.308223724365234
59,0.9,0.003,40.0,400,60,45.41469955444336
60,0.9,0.003,40.0,400,61,78.31372833251953
61,0.9,0.003,40.0,400,62,54.506954193115234
62,0.9,0.003,40.0,400,63,77.44908905029297
63,0.9,0.003,40.0,400,64,50.73396682739258
64,0.9,0.003,40.0,400,65,43.20673370361328
65,0.9,0.003,40.0,400,66,56.88576126098633
66,0.9,0.003,40.0,400,67,51.69392395019531
67,0.9,0.003,40.0,400,68,88.7640151977539
68,0.9,0.003,40.0,400,69,32.52126693725586
69,0.9,0.003,40.0,400,70,40.68992614746094
70,0.9,0.003,40.0,400,71,59.114036560058594
71,0.9,0.003,40.0,400,72,41.77591323852539
72,0.9,0.003,40.0,400,73,74.69942474365234
73,0.9,0.003,40.0,400,74,37.95085144042969
74,0.9,0.003,40.0,400,75,43.86024475097656
75,0.9,0.003,40.0,400,76,59.5152473449707
76,0.9,0.003,40.0,400,77,96.3457260131836
77,0.9,0.003,40.0,400,78,44.85498046875
78,0.9,0.003,40.0,400,79,59.31533432006836
79,0.9,0.003,40.0,400,80,88.08738708496094
80,0.9,0.003,40.0,400,81,39.930477142333984
81,0.9,0.003,40.0,400,82,47.48373794555664
82,0.9,0.003,40.0,400,84,55.990692138671875
83,0.9,0.003,40.0,400,85,36.11591720581055
84,0.9,0.003,40.0,400,86,69.9734115600586
85,0.9,0.003,40.0,400,90,65.17086029052734
86,0.9,0.003,40.0,400,91,41.828163146972656
87,0.9,0.003,40.0,400,93,36.56547164916992
