,threshold,tradeoff,bws,sample_weight,trial,distance
0,0.95,0.001,10.0,300,1,76.59034729003906
1,0.95,0.001,10.0,300,2,62.64562225341797
2,0.95,0.001,10.0,300,3,29.415250778198242
3,0.95,0.001,10.0,300,4,38.949005126953125
4,0.95,0.001,10.0,300,5,63.447940826416016
5,0.95,0.001,10.0,300,6,44.396522521972656
6,0.95,0.001,10.0,300,7,60.07516098022461
7,0.95,0.001,10.0,300,8,60.23518753051758
8,0.95,0.001,10.0,300,9,38.192230224609375
9,0.95,0.001,10.0,300,10,89.4144515991211
10,0.95,0.001,10.0,300,11,85.74491882324219
11,0.95,0.001,10.0,300,12,63.26497268676758
12,0.95,0.001,10.0,300,13,36.65510940551758
13,0.95,0.001,10.0,300,14,72.83872985839844
14,0.95,0.001,10.0,300,15,79.2994155883789
15,0.95,0.001,10.0,300,16,71.46405792236328
16,0.95,0.001,10.0,300,17,87.231689453125
17,0.95,0.001,10.0,300,18,85.62689208984375
18,0.95,0.001,10.0,300,19,36.730735778808594
19,0.95,0.001,10.0,300,20,44.938209533691406
20,0.95,0.001,10.0,300,21,60.4120979309082
21,0.95,0.001,10.0,300,22,47.38530731201172
22,0.95,0.001,10.0,300,23,74.93305969238281
23,0.95,0.001,10.0,300,24,46.688232421875
24,0.95,0.001,10.0,300,25,75.7618637084961
25,0.95,0.001,10.0,300,26,73.56878662109375
26,0.95,0.001,10.0,300,27,33.89674377441406
27,0.95,0.001,10.0,300,28,70.17828369140625
28,0.95,0.001,10.0,300,29,74.90945434570312
29,0.95,0.001,10.0,300,30,51.76132583618164
30,0.95,0.001,10.0,300,31,100.95365142822266
31,0.95,0.001,10.0,300,32,44.01103591918945
32,0.95,0.001,10.0,300,33,79.49060821533203
33,0.95,0.001,10.0,300,34,32.92829895019531
34,0.95,0.001,10.0,300,35,90.45250701904297
35,0.95,0.001,10.0,300,36,60.53822326660156
36,0.95,0.001,10.0,300,37,39.522891998291016
37,0.95,0.001,10.0,300,38,64.82933807373047
38,0.95,0.001,10.0,300,39,52.5286750793457
39,0.95,0.001,10.0,300,40,40.998687744140625
40,0.95,0.001,10.0,300,41,68.61619567871094
41,0.95,0.001,10.0,300,42,89.76811981201172
42,0.95,0.001,10.0,300,43,57.68006896972656
43,0.95,0.001,10.0,300,44,69.8739242553711
44,0.95,0.001,10.0,300,45,45.028194427490234
45,0.95,0.001,10.0,300,46,34.71173095703125
46,0.95,0.001,10.0,300,47,60.59345626831055
47,0.95,0.001,10.0,300,48,43.479183197021484
48,0.95,0.001,10.0,300,49,43.366981506347656
49,0.95,0.001,10.0,300,50,70.60309600830078
50,0.95,0.001,10.0,300,51,70.19400024414062
51,0.95,0.001,10.0,300,52,63.586307525634766
52,0.95,0.001,10.0,300,53,29.458171844482422
53,0.95,0.001,10.0,300,54,59.42228698730469
54,0.95,0.001,10.0,300,55,55.19422149658203
55,0.95,0.001,10.0,300,56,74.90343475341797
56,0.95,0.001,10.0,300,57,57.71719741821289
57,0.95,0.001,10.0,300,58,41.43977355957031
58,0.95,0.001,10.0,300,59,27.214405059814453
59,0.95,0.001,10.0,300,60,83.74726867675781
60,0.95,0.001,10.0,300,61,72.97186279296875
61,0.95,0.001,10.0,300,62,41.00869369506836
62,0.95,0.001,10.0,300,63,59.50383377075195
63,0.95,0.001,10.0,300,64,68.24102020263672
64,0.95,0.001,10.0,300,65,39.4959831237793
65,0.95,0.001,10.0,300,66,70.09335327148438
66,0.95,0.001,10.0,300,67,49.21883773803711
67,0.95,0.001,10.0,300,68,46.65056228637695
68,0.95,0.001,10.0,300,69,39.357486724853516
69,0.95,0.001,10.0,300,70,62.158103942871094
70,0.95,0.001,10.0,300,71,48.6484260559082
71,0.95,0.001,10.0,300,72,34.948890686035156
72,0.95,0.001,10.0,300,73,66.45902252197266
73,0.95,0.001,10.0,300,74,55.85462951660156
74,0.95,0.001,10.0,300,75,36.29611587524414
75,0.95,0.001,10.0,300,76,57.44215393066406
76,0.95,0.001,10.0,300,77,91.39585876464844
77,0.95,0.001,10.0,300,78,55.40276336669922
78,0.95,0.001,10.0,300,79,39.94626235961914
79,0.95,0.001,10.0,300,80,63.39963150024414
80,0.95,0.001,10.0,300,81,59.44374084472656
81,0.95,0.001,10.0,300,82,44.93608093261719
82,0.95,0.001,10.0,300,84,53.509552001953125
83,0.95,0.001,10.0,300,85,50.64669418334961
84,0.95,0.001,10.0,300,86,71.30455017089844
85,0.95,0.001,10.0,300,90,87.56904602050781
86,0.95,0.001,10.0,300,91,45.62265396118164
87,0.95,0.001,10.0,300,93,31.121671676635742
88,0.95,0.001,10.0,300,94,60.01223373413086
89,0.95,0.001,10.0,300,97,83.36892700195312
90,0.95,0.001,10.0,300,98,47.31827926635742
91,0.95,0.001,10.0,300,99,87.27050018310547
92,0.95,0.001,10.0,300,100,79.01309967041016
93,0.95,0.001,10.0,300,102,60.68427276611328
94,0.95,0.001,10.0,300,103,53.228416442871094
95,0.95,0.001,10.0,300,106,84.59274291992188
96,0.95,0.001,10.0,300,107,64.953857421875
97,0.95,0.001,10.0,300,109,53.21173858642578
