,trial,hole1,hole2,hole3,num_cols
0,1,1.6018020466859853e-14,0.5509503516843568,0.44904964831562705,226
1,2,1.9818186990397877e-14,0.47247354707040345,0.5275264529295767,219
2,3,0.43488492444208027,0.5651150755579034,1.6348268839702272e-14,231
3,4,2.7462699416534392e-14,0.04833446633575998,0.9516655336642125,240
4,5,0.03344689907353058,0.6305547873586221,0.33599831356784726,243
5,6,0.4884478349885031,0.5115521650114807,1.6244373059727742e-14,272
6,7,2.915694215194124e-14,2.915694215194124e-14,0.9999999999999417,244
7,8,0.9036873324596391,0.014958063845628238,0.08135460369473273,275
8,9,0.9999999999999435,2.8246121071361904e-14,2.8246121071361904e-14,237
9,10,0.2689524448766874,0.34377370240575383,0.38727385271755876,201
10,11,2.8051925441729058e-14,2.8051925441729058e-14,0.9999999999999439,314
11,12,0.9999999999999092,4.5434860942698265e-14,4.5434860942698265e-14,260
12,13,0.4044250165599964,0.5955749834399836,2.0030908942013383e-14,277
13,14,3.5296082504121596e-14,3.5296082504121596e-14,0.9999999999999294,255
14,15,0.5362541038911571,0.46374589610882744,1.5425486882998844e-14,160
15,16,0.4311616416225254,0.5688383583774533,2.1223457115095607e-14,279
16,17,0.5922401282326892,0.4051382219617903,0.002621649805520387,245
17,18,0.2805575917698773,0.7194424082300941,2.859935448319318e-14,244
18,19,0.5267635888638164,0.4732364111361684,1.5234771499669042e-14,204
19,20,0.9999999999999413,2.9341533683201916e-14,2.9341533683201916e-14,235
20,21,0.13584906349119213,0.8578728255499397,0.0062781109588682564,306
21,22,1.7869837107318384e-14,0.5744110826335052,0.4255889173664769,290
22,23,4.438259577988114e-14,0.009841560920808349,0.9901584390791472,344
23,24,2.0771246645755162e-14,0.28367244521398927,0.71632755478599,303
24,25,1.5339150505750625e-14,0.5189439410218061,0.4810560589781786,314
25,26,1.879858711232671e-14,0.3509456768872878,0.6490543231126935,240
26,27,1.87876387941722e-14,0.34666229920537767,0.6533377007946035,243
27,28,2.6355346590497573e-14,0.6784106653307482,0.3215893346692253,209
28,29,0.5166466498709915,0.17345003163505018,0.30990331849395825,161
29,30,0.17318425840754786,0.8268157415924284,2.3816228535404756e-14,282
30,31,0.557948314311968,0.4420516856880117,2.0366874579835485e-14,309
31,32,0.10621370101486749,0.5680526465304687,0.3257336524546638,248
32,33,2.836921950121952e-14,0.9999999999999433,2.836921950121952e-14,294
33,34,0.8882976662445639,2.8626419895149627e-14,0.11170233375540747,236
34,35,0.2742222792689385,0.5110276274804821,0.21475009325057923,318
35,36,2.100504560698754e-14,0.2525603761402957,0.7474396238596832,252
36,37,0.5034828177737298,0.4965171822262547,1.5568862930178183e-14,274
37,38,0.0009913878318021862,5.940087525185992e-14,0.9990086121681384,251
38,39,0.43025267666035366,0.4461054070156554,0.12364191632399095,254
39,40,0.9999999999999426,2.867548911707799e-14,2.867548911707799e-14,294
40,41,0.0007254246547207216,2.844264015940417e-14,0.9992745753452508,264
41,42,1.878480183546281e-14,0.48170940782071,0.5182905921792712,319
42,43,0.7694324827025197,0.0481822488768466,0.18238526842063363,311
43,44,3.785449515138727e-14,3.785449515138727e-14,0.9999999999999243,311
44,45,0.9990990855316885,0.0009009144682827616,2.870443089114277e-14,247
45,46,1.549107810421149e-14,0.48858528162480275,0.5114147183751818,238
46,47,0.04371535582608362,0.34153531925078107,0.6147493249231353,200
47,48,0.39778096422294157,0.15056056102965518,0.4516584747474032,252
48,49,3.0095198177716395e-14,3.0095198177716395e-14,0.9999999999999398,323
49,50,0.034846127888764414,0.6688355230942529,0.2963183490169828,318
50,51,0.6508095757107971,0.34885509292786365,0.00033533136133924294,237
51,52,0.0010654697407456383,3.020985794521036e-14,0.9989345302592241,310
52,53,0.2733082366698579,0.3450130509230851,0.3816787124070569,282
