,trial,run,judgment,num_cols
0,1,0,1,1
1,1,1,1,1
2,1,2,1,1
3,2,0,2,3
4,2,1,2,3
5,2,2,1,1
6,3,0,1,1
7,3,1,1,1
8,3,2,1,1
