,trial,hole1,hole2,hole3,num_sims,num_looks
0,1,6.813790189859309e-15,0.5909296779578121,0.409070322042181,240,362
1,2,1.038973491377604e-14,0.09198104495034429,0.9080189550496452,240,370
2,3,0.3579739846332707,0.6420260153667221,7.147538482089225e-15,240,421
3,4,1.1193114097733723e-14,1.1193114097733723e-14,0.9999999999999776,240,431
4,5,3.2237979696745883e-14,0.9998130675501313,0.00018693244983640923,240,419
5,6,0.7318863856945296,0.26811361430545044,2.000474422120858e-14,240,499
6,7,1.1783807244867593e-14,1.1783807244867593e-14,0.9999999999999765,240,435
7,8,0.9999999999999735,1.3267208429280774e-14,1.3267208429280774e-14,240,508
8,9,0.9999999999999759,1.2027779698180501e-14,1.2027779698180501e-14,240,373
9,10,1.9262854614082475e-14,0.17554362685082503,0.8244563731491558,240,338
10,11,1.1479695077151378e-14,1.1479695077151378e-14,0.999999999999977,240,438
11,12,0.9999999999999755,1.224444892523234e-14,1.224444892523234e-14,240,425
12,13,0.5596378321500104,0.44036216784997767,1.1912245783866631e-14,240,494
13,14,1.1138326653693381e-14,1.1138326653693381e-14,0.9999999999999777,240,425
14,15,0.5201893012129208,0.47981069878707344,5.797390911133086e-15,240,318
15,16,0.07013710788852742,0.9298628921114448,2.7637743618030355e-14,240,446
16,17,0.9642269648226285,0.0357730351773459,2.5658245410545223e-14,240,391
17,18,3.8118435639763465e-14,0.9999999999999237,3.8118435639763465e-14,240,375
18,19,0.5150637695077989,0.4849362304921953,5.736977660497398e-15,240,360
19,20,0.9999999999999777,1.11510054260737e-14,1.11510054260737e-14,240,370
20,21,1.121436698273748e-14,0.9999999999999776,1.121436698273748e-14,240,448
21,22,8.836974841358465e-15,0.7937815653062416,0.20621843469374956,240,487
22,23,1.2304427462135899e-14,1.2304427462135899e-14,0.9999999999999754,240,454
23,24,1.1179027647345104e-14,0.002138938903110696,0.9978610610968781,240,553
24,25,5.908024975561766e-15,0.5041387619201249,0.4958612380798692,240,514
25,26,9.502434139492555e-15,0.14956298519706063,0.85043701480293,240,433
26,27,1.0964418807750922e-14,0.015906620962168296,0.9840933790378208,240,430
27,28,2.6619932652628954e-14,0.9999999999999467,2.6619932652628954e-14,240,389
28,29,0.9810503235069261,3.408668582258509e-14,0.018949676493039816,240,287
29,30,1.1140458348314875e-14,0.9999999999999777,1.1140458348314875e-14,240,378
30,31,0.9167460882992001,0.08325391170077268,2.715455658969439e-14,240,437
