,num_samples,bws,trial,distance
0,80,12.0,1,74.3985366821289
1,80,12.0,2,77.02210998535156
2,80,12.0,3,79.76480102539062
3,80,12.0,4,88.04483032226562
4,80,12.0,5,76.4136962890625
5,80,12.0,6,70.1910629272461
6,80,12.0,7,76.15937042236328
7,80,12.0,8,51.59712219238281
8,80,12.0,9,87.45848083496094
9,80,12.0,10,65.67793273925781
10,80,12.0,11,93.56367492675781
11,80,12.0,12,113.12992858886719
12,80,12.0,13,53.39385223388672
13,80,12.0,14,82.64301300048828
14,80,12.0,15,98.16079711914062
15,80,12.0,16,99.60533142089844
16,80,12.0,17,55.09073257446289
17,80,12.0,18,85.2693862915039
18,80,12.0,19,85.98351287841797
19,80,12.0,20,90.30844116210938
20,80,12.0,21,61.022403717041016
21,80,12.0,22,48.63850402832031
22,80,12.0,23,100.43902587890625
23,80,12.0,24,86.20134735107422
24,80,12.0,25,60.93191909790039
25,80,12.0,26,77.93045043945312
26,80,12.0,27,75.07453155517578
27,80,12.0,28,87.12015533447266
28,80,12.0,29,65.11524963378906
29,80,12.0,30,79.68683624267578
30,80,12.0,31,68.87503051757812
31,80,12.0,32,70.99209594726562
32,80,12.0,33,75.93626403808594
33,80,12.0,34,62.01513671875
34,80,12.0,35,82.12879180908203
35,80,12.0,36,60.557430267333984
36,80,12.0,37,48.82740783691406
37,80,12.0,38,76.45148468017578
38,80,12.0,39,80.13775634765625
39,80,12.0,40,78.0425033569336
40,80,12.0,41,90.4708480834961
41,80,12.0,42,92.45661163330078
42,80,12.0,43,53.98389434814453
43,80,12.0,44,94.48212432861328
44,80,12.0,45,89.65230560302734
45,80,12.0,46,84.06400299072266
46,80,12.0,47,58.02872085571289
47,80,12.0,48,51.08531951904297
48,80,12.0,49,89.40205383300781
49,80,12.0,50,77.81397247314453
50,80,12.0,51,66.90682983398438
51,80,12.0,52,77.90494537353516
52,80,12.0,53,47.87282180786133
53,80,12.0,54,64.8049545288086
54,80,12.0,55,59.14094543457031
55,80,12.0,56,75.04583740234375
56,80,12.0,57,94.39790344238281
57,80,12.0,58,61.53090286254883
58,80,12.0,59,36.12029266357422
59,80,12.0,60,93.55548095703125
60,80,12.0,61,76.59680938720703
61,80,12.0,62,50.58992385864258
62,80,12.0,63,91.70613861083984
63,80,12.0,64,77.33396911621094
64,80,12.0,65,76.53317260742188
65,80,12.0,66,58.8572883605957
66,80,12.0,67,116.04541015625
67,80,12.0,68,55.3697624206543
68,80,12.0,69,74.02275848388672
69,80,12.0,70,87.72148132324219
70,80,12.0,71,47.404747009277344
71,80,12.0,72,108.7653579711914
72,80,12.0,73,71.24414825439453
73,80,12.0,74,62.972312927246094
74,80,12.0,75,59.2166748046875
75,80,12.0,76,66.74946594238281
76,80,12.0,77,82.68173217773438
77,80,12.0,78,84.45022583007812
78,80,12.0,79,82.44062042236328
79,80,12.0,80,64.86821746826172
80,80,12.0,81,78.48650360107422
81,80,12.0,82,52.28368377685547
82,80,12.0,84,69.16764068603516
83,80,12.0,85,58.288238525390625
84,80,12.0,86,88.32554626464844
85,80,12.0,90,94.56511688232422
86,80,12.0,91,58.907875061035156
87,80,12.0,93,74.26091766357422
88,80,12.0,94,72.81295013427734
89,80,12.0,97,73.70757293701172
90,80,12.0,98,76.47520446777344
91,80,12.0,99,79.25392150878906
92,80,12.0,100,82.6966552734375
93,80,12.0,102,67.11836242675781
94,80,12.0,103,64.94064331054688
95,80,12.0,106,77.96529388427734
96,80,12.0,107,42.45189666748047
97,80,12.0,109,70.4544677734375
98,80,12.0,111,87.93025207519531
99,80,12.0,112,81.6632080078125
100,80,12.0,113,65.06661987304688
101,80,12.0,114,108.40436553955078
102,80,12.0,115,84.50059509277344
103,80,12.0,118,106.1665267944336
104,80,12.0,121,68.90911102294922
105,80,12.0,122,110.90079498291016
106,80,12.0,123,65.08454132080078
107,80,12.0,126,89.45014190673828
108,80,12.0,127,86.82714080810547
109,80,12.0,129,47.97951126098633
110,80,12.0,132,76.04806518554688
111,80,12.0,133,74.23715209960938
112,80,12.0,139,90.0085678100586
113,80,12.0,140,75.1650619506836
114,80,12.0,142,51.72636413574219
115,80,12.0,143,65.29927062988281
116,80,12.0,144,84.06582641601562
117,80,12.0,145,57.839691162109375
118,80,12.0,148,92.07710266113281
119,80,12.0,149,77.49504852294922
120,80,12.0,154,88.7984848022461
121,80,12.0,156,71.89812469482422
122,80,12.0,158,96.40841674804688
123,80,12.0,163,69.14643096923828
124,80,12.0,166,50.47453308105469
125,80,12.0,170,78.25170135498047
126,80,12.0,173,109.13207244873047
127,80,12.0,179,84.24192810058594
128,80,12.0,183,86.8591537475586
129,80,12.0,186,79.6064453125
130,80,12.0,190,111.5151596069336
131,80,12.0,192,66.5712890625
132,80,12.0,196,89.6745834350586
133,80,12.0,207,63.15061950683594
134,80,12.0,210,92.96826171875
135,80,12.0,214,77.34629821777344
136,80,12.0,215,76.06775665283203
137,80,12.0,223,95.00823211669922
138,80,12.0,254,91.81755065917969
139,80,12.0,283,48.58692932128906
140,80,12.0,289,76.39421081542969
141,80,12.0,297,74.94424438476562
142,80,12.0,302,80.28900909423828
143,80,12.0,306,98.9487075805664
144,80,12.0,307,84.9714126586914
145,80,12.0,316,102.81722259521484
146,80,12.0,319,95.02837371826172
147,80,12.0,326,97.8277359008789
148,80,12.0,332,99.78246307373047
149,80,12.0,380,98.7425765991211
