,trial,distance
0,1,48.15280532836914
1,2,38.54481887817383
2,3,45.854248046875
3,4,53.236305236816406
4,5,59.33127212524414
5,6,53.85520935058594
6,7,53.539058685302734
7,8,38.36328887939453
8,9,41.87574768066406
9,10,60.43488311767578
10,11,48.100181579589844
11,12,68.70268249511719
12,13,40.88817596435547
13,14,55.790008544921875
14,15,61.33500289916992
15,16,67.00761413574219
16,17,39.561275482177734
17,18,72.46412658691406
18,19,62.885921478271484
19,20,34.47647476196289
20,21,36.65384292602539
21,22,46.135040283203125
22,23,61.22731399536133
23,24,37.86627960205078
24,25,45.85049819946289
25,26,50.59590148925781
26,27,57.721839904785156
27,28,89.30780792236328
28,29,77.86034393310547
29,30,44.90327835083008
30,31,48.007774353027344
31,32,38.61150360107422
32,33,41.50049591064453
33,34,31.764850616455078
34,35,89.36851501464844
35,36,35.53034973144531
36,37,47.073856353759766
37,38,57.836097717285156
38,39,40.871803283691406
39,40,39.103797912597656
40,41,29.108640670776367
41,42,57.92424011230469
42,43,42.61960983276367
43,44,53.495758056640625
44,45,45.06588363647461
45,46,63.780269622802734
46,47,33.098331451416016
47,48,32.82451629638672
48,49,23.718908309936523
49,50,60.63882064819336
50,51,41.071617126464844
51,52,37.236900329589844
52,53,35.604087829589844
53,54,49.07020568847656
54,55,48.202056884765625
55,56,53.04573440551758
56,57,61.53060531616211
57,58,44.289798736572266
58,59,42.37214660644531
59,60,32.87311553955078
60,61,35.39611053466797
61,62,35.201656341552734
62,63,64.08719635009766
63,64,67.72869873046875
64,65,54.95079040527344
65,66,69.63859558105469
66,67,82.37495422363281
67,68,59.85657501220703
68,69,48.85906982421875
69,70,96.37017822265625
70,71,21.407773971557617
71,72,43.75703048706055
72,73,54.840232849121094
73,74,42.330013275146484
74,75,35.36027526855469
75,76,32.497474670410156
76,77,58.889591217041016
77,78,74.68640899658203
78,79,47.265464782714844
79,80,43.111392974853516
80,81,38.806358337402344
81,82,52.55611038208008
82,84,51.749420166015625
83,85,45.80528259277344
84,86,51.3486328125
85,90,53.06351089477539
86,91,55.118125915527344
87,93,40.15818405151367
88,94,49.668846130371094
89,97,40.423580169677734
90,98,31.74270248413086
91,99,27.76627540588379
92,100,63.6347541809082
93,102,47.82807159423828
94,103,65.37848663330078
95,106,54.01313018798828
96,107,37.667869567871094
97,109,47.840267181396484
98,111,51.0953369140625
99,112,44.357784271240234
100,113,55.40055465698242
101,114,74.14104461669922
102,115,60.968929290771484
103,118,33.71946334838867
104,121,45.61762237548828
105,122,50.53522491455078
106,123,55.801448822021484
107,126,56.39438247680664
108,127,43.48166275024414
109,129,42.61552047729492
110,132,45.55251693725586
111,133,36.832767486572266
112,139,77.61234283447266
113,140,53.0168571472168
114,142,49.599769592285156
115,143,42.862152099609375
116,144,38.30826187133789
117,145,61.48054122924805
118,148,60.479515075683594
119,149,69.21976470947266
120,154,48.59287643432617
121,156,64.09103393554688
122,158,28.592824935913086
123,163,47.25360107421875
124,166,50.85593032836914
125,170,35.49854278564453
126,173,88.10203552246094
127,179,31.873619079589844
128,183,39.20146560668945
129,186,45.00064468383789
130,190,41.69134521484375
131,192,37.89213180541992
132,196,37.450904846191406
133,207,35.32050704956055
134,210,37.31259536743164
135,214,51.71238708496094
136,215,44.78864288330078
137,223,57.157188415527344
138,254,42.8360710144043
139,283,25.866456985473633
140,289,46.57649612426758
141,297,28.4711856842041
142,302,35.89765167236328
143,306,74.76271057128906
144,307,27.2531681060791
145,316,41.63521957397461
146,319,48.65373229980469
147,326,38.4147834777832
148,332,76.09468841552734
149,380,49.70097351074219
